Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AALP_AA1G000800	MYB_related	MP00119	Arabis alpina	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
AALP_AA1G003100	ERF	MP00120	Arabis alpina	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
AALP_AA1G005900	NAC	MP00123	Arabis alpina	DAP	PlantTFDB	transfer from AT1G02250(Arabidopsis thaliana)
AALP_AA1G009000	NAC	MP00121	Arabis alpina	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
AALP_AA1G013600	SBP	MP00090	Arabis alpina	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
AALP_AA1G031600	ERF	MP00124	Arabis alpina	DAP	PlantTFDB	transfer from AT1G03800(Arabidopsis thaliana)
AALP_AA1G032000	C2H2	MP00125	Arabis alpina	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
AALP_AA1G056200	NAC	MP00058	Arabis alpina	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
AALP_AA1G058800	ERF	MP00023	Arabis alpina	PBM	PlantTFDB	transfer from AT1G06160(Arabidopsis thaliana)
AALP_AA1G059100	MYB	MP00127	Arabis alpina	DAP	PlantTFDB	transfer from AT1G06180(Arabidopsis thaliana)
AALP_AA1G066300	bZIP	MP00129	Arabis alpina	DAP	PlantTFDB	transfer from AT1G06850(Arabidopsis thaliana)
AALP_AA1G091800	MYB	MP00132	Arabis alpina	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
AALP_AA1G100000	bHLH	MP00081	Arabis alpina	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
AALP_AA1G100100	MYB	MP00134	Arabis alpina	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
AALP_AA1G102900	MYB	MP00028	Arabis alpina	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
AALP_AA1G107500	bHLH	MP00135	Arabis alpina	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
AALP_AA1G111200	bHLH	MP00207	Arabis alpina	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
AALP_AA1G137500	ERF	MP00001	Arabis alpina	PBM	PlantTFDB	transfer from 471409(Arabidopsis lyrata)
AALP_AA1G137900	ERF	MP00138	Arabis alpina	DAP	PlantTFDB	transfer from AT1G12630(Arabidopsis thaliana)
AALP_AA1G146100	RAV	MP00139	Arabis alpina	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
AALP_AA1G147900	Trihelix	MP00004	Arabis alpina	PBM	PlantTFDB	transfer from 920224(Arabidopsis lyrata)
