Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Medtr0002s1250	WRKY	MP00070	Medicago truncatula	PBM	PlantTFDB	transfer from AT5G01900(Arabidopsis thaliana)
Medtr0003s0590	MIKC_MADS	MP00508	Medicago truncatula	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Medtr0020s0020	HSF	MP00575	Medicago truncatula	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Medtr0100s0160	C2H2	MP00306	Medicago truncatula	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
Medtr0123s0070	MYB_related	MP00625	Medicago truncatula	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
Medtr0160s0030	C2H2	MP00416	Medicago truncatula	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Medtr1g006650	GATA	MP00530	Medicago truncatula	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Medtr1g008740	NAC	MP00277	Medicago truncatula	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Medtr1g009613	WRKY	MP00464	Medicago truncatula	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
Medtr1g015140	WRKY	MP00531	Medicago truncatula	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Medtr1g017080	TALE	MP00675	Medicago truncatula	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Medtr1g017140	MYB	MP00089	Medicago truncatula	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
Medtr1g017350	bHLH	MP00135	Medicago truncatula	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Medtr1g021400	B3	MP00468	Medicago truncatula	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Medtr1g021520	G2-like	MP00107	Medicago truncatula	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
