Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
ctg09962.g26580	ERF	MP00204	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
ctg12846.g26871	M-type_MADS	MP00553	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Scf00001.g288	TCP	MP00006	Utricularia gibba	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
Scf00001.g375	C2H2	MP00608	Utricularia gibba	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
Scf00001.g97	ERF	MP00458	Utricularia gibba	DAP	PlantTFDB	transfer from AT4G28140(Arabidopsis thaliana)
Scf00002.g429	CAMTA	MP00435	Utricularia gibba	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
Scf00002.g510	WRKY	MP00422	Utricularia gibba	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Scf00003.g599	B3	MP00382	Utricularia gibba	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Scf00003.g605	MYB_related	MP00236	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G74840(Arabidopsis thaliana)
Scf00003.g608	E2F/DP	MP00397	Utricularia gibba	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
Scf00003.g735	MYB	MP00490	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Scf00004.g899	WRKY	MP00171	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G30650(Arabidopsis thaliana)
Scf00005.g953	MYB	MP00222	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
Scf00005.g963	bHLH	MP00219	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
Scf00006.g1067	MYB	MP00213	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
Scf00006.g1186	bZIP	MP00647	Utricularia gibba	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
Scf00007.g1274	MYB_related	MP00630	Utricularia gibba	PBM	PlantTFDB	transfer from PK17526.1(Cannabis sativa)
Scf00008.g1426	bHLH	MP00101	Utricularia gibba	PBM	PlantTFDB	transfer from AT2G46510(Arabidopsis thaliana)
Scf00010.g1598	BBR-BPC	MP00540	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Scf00011.g1784	FAR1	MP00078	Utricularia gibba	ChIP-seq	PlantTFDB	transfer from AT3G22170(Arabidopsis thaliana)
Scf00013.g1974	LBD	MP00128	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Scf00013.g2001	C3H	MP00383	Utricularia gibba	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
Scf00015.g2237	Dof	MP00580	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
Scf00016.g2298	HSF	MP00575	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Scf00016.g2353	ERF	MP00302	Utricularia gibba	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
Scf00021.g2931	Dof	MP00402	Utricularia gibba	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
Scf00021.g2937	bZIP	MP00040	Utricularia gibba	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Scf00022.g2995	MYB	MP00180	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
Scf00022.g2999	HD-ZIP	MP00051	Utricularia gibba	PBM	PlantTFDB	transfer from AT4G40060(Arabidopsis thaliana)
Scf00022.g3035	ERF	MP00549	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
Scf00022.g3059	MYB_related	MP00515	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
Scf00022.g3071	WRKY	MP00304	Utricularia gibba	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
Scf00023.g3090	G2-like	MP00252	Utricularia gibba	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Scf00023.g3160	GATA	MP00048	Utricularia gibba	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
Scf00024.g3185	NAC	MP00059	Utricularia gibba	PBM	PlantTFDB	transfer from AT5G04410(Arabidopsis thaliana)
Scf00025.g3289	WRKY	MP00067	Utricularia gibba	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Scf00025.g3310	RAV	MP00024	Utricularia gibba	PBM	PlantTFDB	transfer from AT1G25560(Arabidopsis thaliana)
Scf00026.g3343	TALE	MP00675	Utricularia gibba	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Scf00026.g3346	bHLH	MP00135	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Scf00026.g3365	NAC	MP00179	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
Scf00027.g3470	MYB	MP00500	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Scf00029.g3639	bHLH	MP00100	Utricularia gibba	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Scf00031.g3884	MYB_related	MP00103	Utricularia gibba	PBM	PlantTFDB	transfer from AT2G46830(Arabidopsis thaliana)
Scf00031.g3902	HD-ZIP	MP00421	Utricularia gibba	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Scf00034.g4134	MYB	MP00132	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
Scf00035.g4200	bZIP	MP00389	Utricularia gibba	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Scf00035.g4267	NAC	MP00108	Utricularia gibba	PBM	PlantTFDB	transfer from AT4G35580(Arabidopsis thaliana)
Scf00036.g4293	Dof	MP00570	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
Scf00038.g4513	YABBY	MP00620	Utricularia gibba	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Scf00039.g4593	C2H2	MP00229	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Scf00040.g4640	MYB_related	MP00119	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
Scf00041.g4722	bZIP	MP00039	Utricularia gibba	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Scf00041.g4752	Trihelix	MP00356	Utricularia gibba	DAP	PlantTFDB	transfer from AT3G14180(Arabidopsis thaliana)
Scf00044.g4995	ERF	MP00240	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Scf00044.g5023	MYB	MP00505	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
Scf00045.g5049	LBD	MP00314	Utricularia gibba	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Scf00045.g5050	LBD	MP00313	Utricularia gibba	DAP	PlantTFDB	transfer from AT2G45410(Arabidopsis thaliana)
Scf00045.g5063	C2H2	MP00416	Utricularia gibba	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Scf00045.g5067	SBP	MP00090	Utricularia gibba	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Scf00046.g5135	WRKY	MP00618	Utricularia gibba	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Scf00046.g5156	bHLH	MP00308	Utricularia gibba	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Scf00046.g5188	MYB	MP00442	Utricularia gibba	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
Scf00048.g5304	HD-ZIP	MP00323	Utricularia gibba	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
Scf00049.g5401	ERF	MP00027	Utricularia gibba	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
Scf00051.g5519	TCP	MP00524	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
Scf00051.g5559	MYB	MP00114	Utricularia gibba	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Scf00052.g5628	MYB_related	MP00231	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G72740(Arabidopsis thaliana)
Scf00054.g5769	bHLH	MP00091	Utricularia gibba	SELEX	PlantTFDB	transfer from AT4G21330(Arabidopsis thaliana)
Scf00055.g5820	bZIP	MP00186	Utricularia gibba	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
Scf00057.g5976	ARF	MP00461	Utricularia gibba	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
Scf00057.g5995	HD-ZIP	MP00486	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
Scf00058.g6044	CAMTA	MP00043	Utricularia gibba	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Scf00060.g6176	SRS	MP00613	Utricularia gibba	PBM	PlantTFDB	transfer from AT3G51060(Arabidopsis thaliana)
Scf00060.g6204	WRKY	MP00069	Utricularia gibba	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Scf00061.g6267	bHLH	MP00084	Utricularia gibba	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
Scf00062.g6304	MIKC_MADS	MP00076	Utricularia gibba	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Scf00076.g7110	NAC	MP00507	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Scf00077.g7190	Trihelix	MP00481	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G01380(Arabidopsis thaliana)
Scf00081.g7434	bHLH	MP00099	Utricularia gibba	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
Scf00082.g7498	bZIP	MP00586	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G65210(Arabidopsis thaliana)
Scf00083.g7548	NAC	MP00363	Utricularia gibba	DAP	PlantTFDB	transfer from AT3G17730(Arabidopsis thaliana)
Scf00083.g7569	LBD	MP00581	Utricularia gibba	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Scf00092.g8026	ARF	MP00461	Utricularia gibba	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
