TF_ID	Gene_ID	Family
Ciclev10031846m	Ciclev10031846m.g	RAV
Ciclev10012300m	Ciclev10012300m.g	RAV
Ciclev10017535m	Ciclev10017535m.g	RAV
Ciclev10010403m	Ciclev10010403m.g	RAV
Ciclev10000100m	Ciclev10000100m.g	SBP
Ciclev10000186m	Ciclev10000188m.g	Nin-like
Ciclev10000187m	Ciclev10000188m.g	Nin-like
Ciclev10000188m	Ciclev10000188m.g	Nin-like
Ciclev10000252m	Ciclev10000255m.g	FAR1
Ciclev10000255m	Ciclev10000255m.g	FAR1
Ciclev10000383m	Ciclev10000383m.g	FAR1
Ciclev10000454m	Ciclev10000454m.g	Trihelix
Ciclev10000456m	Ciclev10000456m.g	FAR1
Ciclev10000490m	Ciclev10000490m.g	BES1
Ciclev10000496m	Ciclev10000456m.g	FAR1
Ciclev10000501m	Ciclev10000490m.g	BES1
Ciclev10000593m	Ciclev10000593m.g	Trihelix
Ciclev10000606m	Ciclev10000608m.g	EIL
Ciclev10000607m	Ciclev10000608m.g	EIL
Ciclev10000608m	Ciclev10000608m.g	EIL
Ciclev10000609m	Ciclev10000608m.g	EIL
Ciclev10000612m	Ciclev10000612m.g	NAC
Ciclev10000617m	Ciclev10000617m.g	EIL
Ciclev10000619m	Ciclev10000617m.g	EIL
Ciclev10000627m	Ciclev10000627m.g	Trihelix
Ciclev10000654m	Ciclev10000654m.g	WRKY
Ciclev10000671m	Ciclev10000671m.g	GRAS
Ciclev10000702m	Ciclev10000702m.g	TCP
Ciclev10000805m	Ciclev10000490m.g	BES1
Ciclev10000870m	Ciclev10000612m.g	NAC
Ciclev10000936m	Ciclev10000612m.g	NAC
Ciclev10000940m	Ciclev10000940m.g	GRAS
Ciclev10001051m	Ciclev10001051m.g	bZIP
Ciclev10001058m	Ciclev10001058m.g	bZIP
Ciclev10001081m	Ciclev10001081m.g	bZIP
Ciclev10001092m	Ciclev10001081m.g	bZIP
Ciclev10001094m	Ciclev10001081m.g	bZIP
Ciclev10001113m	Ciclev10001081m.g	bZIP
Ciclev10001142m	Ciclev10001142m.g	Trihelix
Ciclev10001159m	Ciclev10001159m.g	bZIP
Ciclev10001165m	Ciclev10001165m.g	E2F/DP
Ciclev10001199m	Ciclev10001200m.g	NAC
Ciclev10001200m	Ciclev10001200m.g	NAC
Ciclev10001201m	Ciclev10001200m.g	NAC
Ciclev10001204m	Ciclev10001200m.g	NAC
Ciclev10001205m	Ciclev10001200m.g	NAC
Ciclev10001206m	Ciclev10001200m.g	NAC
Ciclev10001210m	Ciclev10001200m.g	NAC
Ciclev10001249m	Ciclev10001249m.g	bHLH
Ciclev10001279m	Ciclev10001159m.g	bZIP
Ciclev10001291m	Ciclev10001291m.g	bHLH
Ciclev10001333m	Ciclev10001333m.g	bZIP
Ciclev10001346m	Ciclev10001346m.g	NAC
Ciclev10001376m	Ciclev10001376m.g	CPP
Ciclev10001378m	Ciclev10001378m.g	GeBP
Ciclev10001389m	Ciclev10001389m.g	NAC
Ciclev10001400m	Ciclev10001400m.g	BBR-BPC
Ciclev10001401m	Ciclev10001401m.g	NAC
Ciclev10001402m	Ciclev10001401m.g	NAC
