Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AA1026G00001	MIKC_MADS	MP00077	Aethionema arabicum	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
AA102G00007	NAC	MP00459	Aethionema arabicum	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
AA102G00062	CPP	MP00045	Aethionema arabicum	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
AA102G00149	ARF	MP00461	Aethionema arabicum	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
AA102G00261	ERF	MP00463	Aethionema arabicum	DAP	PlantTFDB	transfer from AT4G31060(Arabidopsis thaliana)
AA102G00304	WRKY	MP00464	Aethionema arabicum	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
AA102G00317	B3	MP00602	Aethionema arabicum	PBM	PlantTFDB	transfer from AT4G31610(Arabidopsis thaliana)
AA102G00343	WRKY	MP00465	Aethionema arabicum	DAP	PlantTFDB	transfer from AT4G31800(Arabidopsis thaliana)
AA1063G00001	MYB	MP00132	Aethionema arabicum	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
AA109G00007	B3	MP00083	Aethionema arabicum	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
AA10G00034	M-type_MADS	MP00553	Aethionema arabicum	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
AA10G00196	NAC	MP00332	Aethionema arabicum	DAP	PlantTFDB	transfer from AT3G04060(Arabidopsis thaliana)
AA10G00198	G2-like	MP00331	Aethionema arabicum	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
AA10G00239	WOX	MP00330	Aethionema arabicum	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
AA10G00295	NAC	MP00329	Aethionema arabicum	DAP	PlantTFDB	transfer from AT3G03200(Arabidopsis thaliana)
AA10G00315	HSF	MP00328	Aethionema arabicum	DAP	PlantTFDB	transfer from AT3G02990(Arabidopsis thaliana)
AA10G00391	TCP	MP00326	Aethionema arabicum	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
AA10G00418	HD-ZIP	MP00322	Aethionema arabicum	DAP	PlantTFDB	transfer from AT3G01220(Arabidopsis thaliana)
AA10G00482	MYB	MP00567	Aethionema arabicum	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
AA118G00053	bZIP	MP00038	Aethionema arabicum	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
