Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AC187157.4_FG005	HD-ZIP	MP00200	Zea mays	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
AC198403.3_FG001	ERF	MP00227	Zea mays	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
AC198725.4_FG009	WRKY	MP00440	Zea mays	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
AC203535.4_FG001	MYB	MP00028	Zea mays	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
AC205574.3_FG006	TCP	MP00009	Zea mays	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
AC207656.3_FG002	ARF	MP00461	Zea mays	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
AC216247.3_FG001	HSF	MP00187	Zea mays	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
AC233865.1_FG003	NAC	MP00363	Zea mays	DAP	PlantTFDB	transfer from AT3G17730(Arabidopsis thaliana)
AC233943.1_FG002	LBD	MP00581	Zea mays	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
AC233960.1_FG003	G2-like	MP00544	Zea mays	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
AC234520.1_FG003	G2-like	MP00193	Zea mays	DAP	PlantTFDB	transfer from AT1G49560(Arabidopsis thaliana)
GRMZM2G001930	bHLH	MP00084	Zea mays	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
GRMZM2G002128	MYB	MP00296	Zea mays	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
GRMZM2G003514	MIKC_MADS	MP00315	Zea mays	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
GRMZM2G003944	TCP	MP00614	Zea mays	PBM	PlantTFDB	transfer from AT1G35560(Arabidopsis thaliana)
GRMZM2G004531	NAC	MP00179	Zea mays	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
GRMZM2G006578	bZIP	MP00491	Zea mays	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
GRMZM2G006752	EIL	MP00649	Zea mays	PBM	PlantTFDB	transfer from LOC_Os09g31400(Oryza sativa subsp. japonica)
GRMZM2G008374	NAC	MP00277	Zea mays	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
GRMZM2G009060	G2-like	MP00331	Zea mays	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
GRMZM2G009406	Dof	MP00672	Zea mays	SELEX	PMID:26531826	MA0020.1
GRMZM2G010100	ERF	MP00521	Zea mays	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
GRMZM2G010920	G2-like	MP00354	Zea mays	DAP	PlantTFDB	transfer from AT3G13040(Arabidopsis thaliana)
GRMZM2G011357	C2H2	MP00673	Zea mays	SELEX	PMID:26531826	MA0120.1
GRMZM2G011932	bZIP	MP00318	Zea mays	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
GRMZM2G013391	WRKY	MP00167	Zea mays	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
GRMZM2G014653	NAC	MP00121	Zea mays	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
GRMZM2G014902	MYB_related	MP00654	Zea mays	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
GRMZM2G015281	ERF	MP00156	Zea mays	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
GRMZM2G016020	MYB_related	MP00668	Zea mays	SELEX	PMID:16381825	M00226
GRMZM2G016150	bZIP	MP00040	Zea mays	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
GRMZM2G017087	TALE	MP00675	Zea mays	ChIP-seq	SRA:SRX158000	SRX158000
GRMZM2G017187	B3	MP00097	Zea mays	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
GRMZM2G017349	bHLH	MP00035	Zea mays	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
GRMZM2G017470	Dof	MP00295	Zea mays	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
GRMZM2G018398	ERF	MP00204	Zea mays	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
GRMZM2G018721	WRKY	MP00067	Zea mays	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
GRMZM2G020799	bZIP	MP00647	Zea mays	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
GRMZM2G020805	TCP	MP00006	Zea mays	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
GRMZM2G021339	HD-ZIP	MP00323	Zea mays	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
GRMZM2G021790	ERF	MP00441	Zea mays	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
GRMZM2G023708	ERF	MP00509	Zea mays	DAP	PlantTFDB	transfer from AT5G13910(Arabidopsis thaliana)
GRMZM2G025642	NAC	MP00266	Zea mays	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
GRMZM2G025812	bZIP	MP00019	Zea mays	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
GRMZM2G026643	HD-ZIP	MP00421	Zea mays	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
GRMZM2G028151	AP2	MP00088	Zea mays	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
GRMZM2G029323	ERF	MP00026	Zea mays	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
GRMZM2G030710	ARF	MP00021	Zea mays	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
GRMZM2G030762	bHLH	MP00660	Zea mays	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
GRMZM2G030877	bZIP	MP00131	Zea mays	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
GRMZM2G031963	WRKY	MP00071	Zea mays	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
GRMZM2G033413	bZIP	MP00294	Zea mays	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
GRMZM2G033570	EIL	MP00367	Zea mays	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
GRMZM2G034110	MYB_related	MP00551	Zea mays	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
GRMZM2G034563	G2-like	MP00107	Zea mays	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
