Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Sphfalx0000s0074	WRKY	MP00428	Sphagnum fallax	DAP	PlantTFDB	transfer from AT4G04450(Arabidopsis thaliana)
Sphfalx0000s0146	MYB	MP00274	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G23290(Arabidopsis thaliana)
Sphfalx0000s0457	GATA	MP00530	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Sphfalx0001s0072	LBD	MP00581	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Sphfalx0001s0101	bZIP	MP00291	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
Sphfalx0001s0121	SBP	MP00090	Sphagnum fallax	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Sphfalx0001s0159	ERF	MP00302	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
Sphfalx0001s0381	TCP	MP00638	Sphagnum fallax	PBM	PlantTFDB	transfer from Lj0g3v0004489(Lotus japonicus)
Sphfalx0002s0057	NAC	MP00562	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Sphfalx0002s0133	MYB_related	MP00551	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Sphfalx0002s0155	MYB_related	MP00607	Sphagnum fallax	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Sphfalx0003s0024	HSF	MP00514	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
Sphfalx0003s0102	C2H2	MP00125	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Sphfalx0004s0125	G2-like	MP00014	Sphagnum fallax	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Sphfalx0004s0336	B3	MP00083	Sphagnum fallax	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
Sphfalx0005s0290	CPP	MP00045	Sphagnum fallax	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
Sphfalx0006s0098	GATA	MP00554	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G49300(Arabidopsis thaliana)
Sphfalx0006s0293	MYB_related	MP00625	Sphagnum fallax	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
Sphfalx0006s0295	MYB	MP00466	Sphagnum fallax	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
Sphfalx0006s0303	EIL	MP00367	Sphagnum fallax	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Sphfalx0007s0142	bHLH	MP00081	Sphagnum fallax	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Sphfalx0008s0027	HSF	MP00187	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Sphfalx0008s0122	HD-ZIP	MP00271	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G22430(Arabidopsis thaliana)
Sphfalx0008s0218	ERF	MP00151	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Sphfalx0009s0229	MYB_related	MP00652	Sphagnum fallax	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Sphfalx0010s0141	C3H	MP00383	Sphagnum fallax	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
Sphfalx0011s0033	ERF	MP00230	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G72360(Arabidopsis thaliana)
Sphfalx0011s0156	NAC	MP00212	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
Sphfalx0012s0197	ERF	MP00521	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Sphfalx0012s0198	ARR-B	MP00054	Sphagnum fallax	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Sphfalx0016s0059	ERF	MP00026	Sphagnum fallax	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Sphfalx0016s0071	bZIP	MP00267	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G18160(Arabidopsis thaliana)
Sphfalx0016s0124	C2H2	MP00125	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Sphfalx0017s0148	MYB	MP00632	Sphagnum fallax	PBM	PlantTFDB	transfer from PK28565.1(Cannabis sativa)
Sphfalx0017s0189	WOX	MP00669	Sphagnum fallax	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Sphfalx0017s0190	NAC	MP00136	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Sphfalx0018s0006	Trihelix	MP00141	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G13450(Arabidopsis thaliana)
Sphfalx0018s0192	SBP	MP00664	Sphagnum fallax	PBM	PlantTFDB	transfer from Potri.002G002400(Populus trichocarpa)
Sphfalx0018s0230	E2F/DP	MP00661	Sphagnum fallax	PBM	PlantTFDB	transfer from Pp3c1_6880(Physcomitrella patens)
Sphfalx0019s0143	MYB	MP00490	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Sphfalx0020s0034	ERF	MP00289	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G33710(Arabidopsis thaliana)
Sphfalx0021s0040	BBR-BPC	MP00540	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Sphfalx0022s0100	HD-ZIP	MP00051	Sphagnum fallax	PBM	PlantTFDB	transfer from AT4G40060(Arabidopsis thaliana)
Sphfalx0023s0100	LBD	MP00581	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
Sphfalx0023s0151	ERF	MP00430	Sphagnum fallax	DAP	PlantTFDB	transfer from AT4G06746(Arabidopsis thaliana)
Sphfalx0023s0153	bHLH	MP00181	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Sphfalx0025s0032	bZIP	MP00349	Sphagnum fallax	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Sphfalx0028s0189	ERF	MP00520	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Sphfalx0030s0105	bZIP	MP00117	Sphagnum fallax	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Sphfalx0032s0152	bHLH	MP00660	Sphagnum fallax	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Sphfalx0034s0063	ARR-B	MP00054	Sphagnum fallax	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Sphfalx0034s0088	BES1	MP00248	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Sphfalx0037s0095	CPP	MP00624	Sphagnum fallax	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Sphfalx0040s0035	G2-like	MP00261	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
Sphfalx0040s0140	C2H2	MP00196	Sphagnum fallax	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Sphfalx0044s0002	MYB	MP00222	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
Sphfalx0044s0073	WRKY	MP00422	Sphagnum fallax	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Sphfalx0046s0038	CAMTA	MP00043	Sphagnum fallax	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Sphfalx0046s0102	SBP	MP00090	Sphagnum fallax	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Sphfalx0047s0045	bHLH	MP00659	Sphagnum fallax	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
Sphfalx0050s0032	bHLH	MP00085	Sphagnum fallax	PBM	PlantTFDB	transfer from AT5G46760(Arabidopsis thaliana)
Sphfalx0055s0010	bHLH	MP00308	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Sphfalx0056s0026	MYB	MP00500	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Sphfalx0059s0014	G2-like	MP00301	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G40260(Arabidopsis thaliana)
Sphfalx0066s0025	bZIP	MP00492	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G06950(Arabidopsis thaliana)
Sphfalx0066s0100	bZIP	MP00040	Sphagnum fallax	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Sphfalx0066s0104	MYB	MP00134	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Sphfalx0077s0031	WRKY	MP00067	Sphagnum fallax	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Sphfalx0079s0055	MYB_related	MP00654	Sphagnum fallax	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
Sphfalx0082s0020	MYB	MP00505	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
Sphfalx0088s0092	MYB_related	MP00338	Sphagnum fallax	DAP	PlantTFDB	transfer from AT3G09600(Arabidopsis thaliana)
Sphfalx0094s0015	Trihelix	MP00288	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Sphfalx0095s0033	ARF	MP00574	Sphagnum fallax	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Sphfalx0095s0063	C2H2	MP00229	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Sphfalx0101s0028	MIKC_MADS	MP00410	Sphagnum fallax	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
Sphfalx0101s0045	WRKY	MP00455	Sphagnum fallax	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Sphfalx0110s0015	GATA	MP00369	Sphagnum fallax	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
Sphfalx0111s0027	HD-ZIP	MP00323	Sphagnum fallax	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
Sphfalx0116s0025	WOX	MP00617	Sphagnum fallax	PBM	PlantTFDB	transfer from AT4G35550(Arabidopsis thaliana)
Sphfalx0117s0070	Trihelix	MP00243	Sphagnum fallax	DAP	PlantTFDB	transfer from AT1G76880(Arabidopsis thaliana)
Sphfalx0119s0043	MIKC_MADS	MP00315	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Sphfalx0119s0044	G2-like	MP00252	Sphagnum fallax	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Sphfalx0119s0060	MYB	MP00479	Sphagnum fallax	DAP	PlantTFDB	transfer from AT4G38620(Arabidopsis thaliana)
