Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Bv_001400_entg	MYB	MP00334	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
Bv_001490_yywz	SBP	MP00604	Beta vulgaris	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Bv_001670_stnf	ERF	MP00520	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Bv_002510_sgmx	WRKY	MP00440	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Bv_004280_axqp	C2H2	MP00306	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
Bv_006040_unrk	LFY	MP00095	Beta vulgaris	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Bv_006850_gcqz	ERF	MP00109	Beta vulgaris	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
Bv_007840_zutx	C2H2	MP00522	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
Bv_008480_ntna	C3H	MP00582	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G63260(Arabidopsis thaliana)
Bv_008490_cjwm	C2H2	MP00608	Beta vulgaris	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
Bv_008610_rmtz	bHLH	MP00035	Beta vulgaris	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Bv_011410_ndfg	bZIP	MP00039	Beta vulgaris	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Bv_017190_rxhh	ERF	MP00558	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
Bv1_000090_pnxw	ERF	MP00156	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Bv1_000840_pchj	C2H2	MP00196	Beta vulgaris	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Bv1_001030_strk	NAC	MP00017	Beta vulgaris	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
Bv1_001500_zhap	bHLH	MP00181	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Bv1_001760_owzx	MYB	MP00249	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G79180(Arabidopsis thaliana)
Bv1_001980_txmr	MYB_related	MP00119	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
Bv1_002240_rapp	NAC	MP00321	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
Bv1_002480_nawq	HD-ZIP	MP00320	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Bv1_002890_zepi	ERF	MP00120	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
Bv1_002900_doao	bHLH	MP00100	Beta vulgaris	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Bv1_003640_tkfj	bZIP	MP00318	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Bv1_003980_zfhn	WRKY	MP00539	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G41570(Arabidopsis thaliana)
Bv1_004020_hacp	WRKY	MP00422	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Bv1_005060_wsok	BBR-BPC	MP00540	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Bv1_005280_nyko	MYB	MP00500	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Bv1_005690_hemo	HD-ZIP	MP00421	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Bv1_005970_qxpi	MYB	MP00114	Beta vulgaris	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Bv1_006280_gdiw	MIKC_MADS	MP00077	Beta vulgaris	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
Bv1_006310_qmia	SRS	MP00613	Beta vulgaris	PBM	PlantTFDB	transfer from AT3G51060(Arabidopsis thaliana)
Bv1_006470_ucuy	ERF	MP00240	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
Bv1_009470_kyxu	ERF	MP00026	Beta vulgaris	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Bv1_010150_oexy	MIKC_MADS	MP00080	Beta vulgaris	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
Bv1_011210_zihs	NAC	MP00250	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Bv1_011350_yiue	bZIP	MP00184	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Bv1_011970_tsyx	ERF	MP00289	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G33710(Arabidopsis thaliana)
Bv1_012890_mdoq	G2-like	MP00107	Beta vulgaris	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Bv1_012990_hiap	C2H2	MP00487	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
Bv1_013030_fxre	BES1	MP00237	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
Bv1_013750_smoy	bZIP	MP00019	Beta vulgaris	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
Bv1_014620_pnwp	bHLH	MP00135	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Bv1_015670_ettr	WRKY	MP00450	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
Bv1_016870_oyie	M-type_MADS	MP00553	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Bv1_017620_fumq	WRKY	MP00618	Beta vulgaris	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Bv1_018470_kcda	bHLH	MP00034	Beta vulgaris	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
Bv1_018710_eozo	YABBY	MP00620	Beta vulgaris	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Bv1_019330_aagp	LBD	MP00314	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Bv1_019790_iszi	MIKC_MADS	MP00315	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
Bv1_019810_cgkm	MIKC_MADS	MP00076	Beta vulgaris	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
Bv1_020990_cdhg	Nin-like	MP00154	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Bv1_021530_jxgt	MYB	MP00145	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
Bv1_021800_gxac	TALE	MP00675	Beta vulgaris	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Bv1_022070_hgze	ARF	MP00153	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
Bv2_023450_ijoy	Trihelix	MP00488	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G05550(Arabidopsis thaliana)
Bv2_023470_huft	ERF	MP00674	Beta vulgaris	SELEX	PlantTFDB	transfer from GRMZM2G093595(Zea mays)
Bv2_028580_zsnk	bZIP	MP00389	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Bv2_028880_mpsx	MIKC_MADS	MP00508	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Bv2_030370_nmyr	ERF	MP00527	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G25390(Arabidopsis thaliana)
Bv2_031130_cghd	ERF	MP00526	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Bv2_031880_ghua	MYB	MP00466	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
Bv2_032500_ztjx	GATA	MP00530	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Bv2_032870_nige	NAC	MP00280	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G27300(Arabidopsis thaliana)
Bv2_034240_wzwm	WRKY	MP00531	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Bv2_035010_gcaa	NAC	MP00277	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Bv2_038830_huqy	MYB	MP00350	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
Bv2_038880_uroe	WRKY	MP00304	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
Bv2_041830_atex	bZIP	MP00349	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Bv2_042860_ixzz	bZIP	MP00117	Beta vulgaris	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Bv2_045310_ztfc	WRKY	MP00464	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
Bv2_045740_qaam	G2-like	MP00297	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G38300(Arabidopsis thaliana)
Bv2_046230_sgnn	NAC	MP00310	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Bv2_046680_nqis	MYB	MP00386	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
Bv2_046790_anip	ZF-HD	MP00387	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G28920(Arabidopsis thaliana)
Bv2_046860_ofna	Dof	MP00046	Beta vulgaris	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
Bv3_048050_woko	GATA	MP00335	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
Bv3_048080_hfrw	ARR-B	MP00054	Beta vulgaris	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
Bv3_049030_urrg	MYB	MP00375	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Bv3_049330_hurx	bHLH	MP00102	Beta vulgaris	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
Bv3_049720_frmg	HSF	MP00514	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
Bv3_050990_kqjn	bZIP	MP00267	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G18160(Arabidopsis thaliana)
Bv3_052580_wurf	ERF	MP00456	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
Bv3_053280_czdf	MYB_related	MP00625	Beta vulgaris	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
Bv3_053770_kkpk	CAMTA	MP00435	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
Bv3_056380_ameu	bHLH	MP00285	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G31220(Arabidopsis thaliana)
Bv3_057700_ifwp	bZIP	MP00126	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Bv3_060310_cykg	C3H	MP00113	Beta vulgaris	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
Bv3_060480_yxxg	SBP	MP00307	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
Bv3_060630_hyww	MYB_related	MP00607	Beta vulgaris	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Bv3_060650_iwdw	bZIP	MP00491	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
Bv3_060800_jzfr	G2-like	MP00331	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
Bv3_060840_gszt	bHLH	MP00308	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Bv3_061260_uzyk	ERF	MP00411	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
Bv3_061640_umpm	HSF	MP00305	Beta vulgaris	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
Bv3_064050_dwac	C2H2	MP00229	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Bv3_064340_tspo	MYB	MP00191	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Bv3_064480_rnwf	bZIP	MP00409	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
Bv3_066110_niai	TCP	MP00667	Beta vulgaris	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
Bv3_066350_xfje	HSF	MP00575	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G62020(Arabidopsis thaliana)
Bv3_069990_sghj	CPP	MP00624	Beta vulgaris	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Bv4_070980_cnzx	ERF	MP00521	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Bv4_072220_zfoe	bHLH	MP00195	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G51140(Arabidopsis thaliana)
Bv4_072620_yruo	MYB	MP00336	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
Bv4_073880_jqoq	HSF	MP00187	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Bv4_074370_ygxg	MYB	MP00490	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Bv4_074460_punp	LBD	MP00211	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
Bv4_074790_jcpm	AP2	MP00610	Beta vulgaris	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
Bv4_074840_wwrw	MYB_related	MP00052	Beta vulgaris	PBM	PlantTFDB	transfer from AT1G15720(Arabidopsis thaliana)
Bv4_078190_hzcx	NAC	MP00121	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Bv4_079110_tgus	NAC	MP00583	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G64060(Arabidopsis thaliana)
Bv4_079240_zfig	MYB	MP00134	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Bv4_079310_oref	MYB	MP00028	Beta vulgaris	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Bv4_079320_gsmr	bHLH	MP00081	Beta vulgaris	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Bv4_081830_goqc	bZIP	MP00040	Beta vulgaris	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Bv4_083670_hjqh	Trihelix	MP00011	Beta vulgaris	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Bv4_084470_okdq	ARF	MP00033	Beta vulgaris	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
Bv4_084740_hqpd	MYB_related	MP00515	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
Bv4_086610_cugw	NAC	MP00562	Beta vulgaris	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Bv4_086850_ncij	SBP	MP00634	Beta vulgaris	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Bv4_087490_ejxx	HSF	MP00187	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Bv4_087770_adcr	FAR1	MP00434	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G15090(Arabidopsis thaliana)
Bv4_088950_cddu	ERF	MP00194	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G50640(Arabidopsis thaliana)
Bv4_089420_mdiu	WRKY	MP00619	Beta vulgaris	PBM	PlantTFDB	transfer from AT5G22570(Arabidopsis thaliana)
Bv4_089910_wkkq	WRKY	MP00455	Beta vulgaris	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Bv4_093610_xiqu	NAC	MP00612	Beta vulgaris	ChIP-seq	PlantTFDB	transfer from AT3G10490(Arabidopsis thaliana)
Bv4_093720_guiw	NAC	MP00059	Beta vulgaris	PBM	PlantTFDB	transfer from AT5G04410(Arabidopsis thaliana)
Bv4_095720_cndg	SBP	MP00633	Beta vulgaris	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Bv4_096120_faoj	EIL	MP00367	Beta vulgaris	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Bv4_096650_oxms	NAC	MP00212	Beta vulgaris	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
