Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LOC107759135	B3	MP00468	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
LOC107759137	NAC	MP00612	Nicotiana tabacum	ChIP-seq	PlantTFDB	transfer from AT3G10490(Arabidopsis thaliana)
LOC107759518	MYB	MP00336	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
LOC107759670	bZIP	MP00039	Nicotiana tabacum	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
LOC107760186	MYB	MP00114	Nicotiana tabacum	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
LOC107760309	B3	MP00083	Nicotiana tabacum	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
LOC107760438	MYB	MP00564	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT5G56110(Arabidopsis thaliana)
LOC107760506	Trihelix	MP00640	Nicotiana tabacum	PBM	PlantTFDB	transfer from MDP0000164819(Malus domestica)
LOC107760601	HSF	MP00371	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
LOC107760614	NAC	MP00431	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
LOC107760739	bZIP	MP00294	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
LOC107761153	MYB	MP00191	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
LOC107761268	MIKC_MADS	MP00096	Nicotiana tabacum	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
LOC107761613	MYB	MP00567	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
LOC107761813	MIKC_MADS	MP00609	Nicotiana tabacum	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
LOC107761881	C2H2	MP00608	Nicotiana tabacum	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
LOC107761889	bZIP	MP00019	Nicotiana tabacum	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
LOC107762099	ERF	MP00312	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
LOC107762209	MYB	MP00134	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
LOC107762217	MIKC_MADS	MP00030	Nicotiana tabacum	SELEX	PlantTFDB	transfer from AT2G03710(Arabidopsis thaliana)
LOC107762262	ERF	MP00558	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
LOC107762610	WRKY	MP00408	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
LOC107762948	WRKY	MP00455	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
LOC107763009	G2-like	MP00331	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
LOC107763021	NAC	MP00507	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
LOC107763047	SBP	MP00633	Nicotiana tabacum	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
LOC107763082	TCP	MP00326	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
LOC107763565	MYB	MP00479	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT4G38620(Arabidopsis thaliana)
LOC107763599	YABBY	MP00220	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
LOC107763698	SBP	MP00090	Nicotiana tabacum	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
LOC107763888	Trihelix	MP00244	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
LOC107764357	MIKC_MADS	MP00605	Nicotiana tabacum	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
LOC107764928	NAC	MP00398	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT3G49530(Arabidopsis thaliana)
LOC107765049	G2-like	MP00252	Nicotiana tabacum	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
