Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
CA00g00040	C2H2	MP00206	Capsicum annuum	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
CA00g03050	NAC	MP00121	Capsicum annuum	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
CA00g10990	bZIP	MP00247	Capsicum annuum	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
CA00g16330	bHLH	MP00219	Capsicum annuum	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
CA00g34300	GATA	MP00530	Capsicum annuum	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
CA00g39910	C2H2	MP00162	Capsicum annuum	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
CA00g41470	bZIP	MP00038	Capsicum annuum	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
CA00g53680	MYB	MP00134	Capsicum annuum	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
CA00g53720	bHLH	MP00081	Capsicum annuum	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
CA00g53740	M-type_MADS	MP00553	Capsicum annuum	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
CA00g54690	NAC	MP00507	Capsicum annuum	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
CA00g64840	MYB	MP00287	Capsicum annuum	DAP	PlantTFDB	transfer from AT2G32460(Arabidopsis thaliana)
CA00g67520	YABBY	MP00620	Capsicum annuum	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
CA00g67890	ERF	MP00311	Capsicum annuum	DAP	PlantTFDB	transfer from AT2G44840(Arabidopsis thaliana)
CA00g69840	MYB	MP00336	Capsicum annuum	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
CA00g71530	HSF	MP00379	Capsicum annuum	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
CA00g77790	NAC	MP00439	Capsicum annuum	DAP	PlantTFDB	transfer from AT4G17980(Arabidopsis thaliana)
CA00g78480	Dof	MP00199	Capsicum annuum	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
CA00g82930	CPP	MP00045	Capsicum annuum	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
