Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
L484_000185	MYB	MP00388	Morus notabilis	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
L484_000238	ERF	MP00437	Morus notabilis	DAP	PlantTFDB	transfer from AT4G17490(Arabidopsis thaliana)
L484_000558	WRKY	MP00450	Morus notabilis	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
L484_000931	WRKY	MP00167	Morus notabilis	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
L484_000934	G2-like	MP00107	Morus notabilis	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
L484_000978	NAC	MP00212	Morus notabilis	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
L484_001049	ERF	MP00557	Morus notabilis	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
L484_001629	C2H2	MP00416	Morus notabilis	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
L484_001635	WRKY	MP00618	Morus notabilis	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
L484_001654	HD-ZIP	MP00320	Morus notabilis	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
L484_001662	ERF	MP00441	Morus notabilis	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
L484_001689	C3H	MP00566	Morus notabilis	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
L484_001767	ERF	MP00558	Morus notabilis	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
L484_001908	MYB	MP00627	Morus notabilis	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
L484_001930	CPP	MP00045	Morus notabilis	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
L484_002276	HD-ZIP	MP00486	Morus notabilis	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
L484_002315	G2-like	MP00331	Morus notabilis	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
L484_002388	ERF	MP00411	Morus notabilis	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
L484_002477	ERF	MP00204	Morus notabilis	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
L484_002491	EIL	MP00367	Morus notabilis	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
L484_002530	ERF	MP00151	Morus notabilis	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
L484_002649	bZIP	MP00345	Morus notabilis	DAP	PlantTFDB	transfer from AT3G10800(Arabidopsis thaliana)
L484_002940	bHLH	MP00659	Morus notabilis	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
L484_002982	WOX	MP00330	Morus notabilis	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
L484_003467	MYB	MP00442	Morus notabilis	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
L484_003682	C2H2	MP00162	Morus notabilis	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
L484_003750	LBD	MP00211	Morus notabilis	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
L484_003782	WRKY	MP00531	Morus notabilis	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
L484_003817	MIKC_MADS	MP00080	Morus notabilis	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
L484_003850	MYB_related	MP00338	Morus notabilis	DAP	PlantTFDB	transfer from AT3G09600(Arabidopsis thaliana)
L484_003928	ERF	MP00463	Morus notabilis	DAP	PlantTFDB	transfer from AT4G31060(Arabidopsis thaliana)
L484_003978	LFY	MP00095	Morus notabilis	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
L484_004213	WRKY	MP00408	Morus notabilis	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
L484_004599	BES1	MP00248	Morus notabilis	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
L484_004601	HSF	MP00443	Morus notabilis	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
L484_004748	E2F/DP	MP00397	Morus notabilis	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
L484_004771	TCP	MP00524	Morus notabilis	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
L484_004870	ARR-B	MP00054	Morus notabilis	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
L484_005010	MYB	MP00386	Morus notabilis	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
L484_005036	Trihelix	MP00356	Morus notabilis	DAP	PlantTFDB	transfer from AT3G14180(Arabidopsis thaliana)
L484_005057	MYB_related	MP00607	Morus notabilis	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
L484_005111	C2H2	MP00206	Morus notabilis	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
L484_005124	ARF	MP00153	Morus notabilis	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
L484_005202	ARF	MP00574	Morus notabilis	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
L484_005243	ERF	MP00109	Morus notabilis	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
L484_005270	WRKY	MP00071	Morus notabilis	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
L484_005309	TCP	MP00396	Morus notabilis	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
L484_005361	TCP	MP00007	Morus notabilis	PBM	PlantTFDB	transfer from 495258(Arabidopsis lyrata)
L484_005589	AP2	MP00610	Morus notabilis	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
L484_005625	bZIP	MP00117	Morus notabilis	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
L484_005743	bHLH	MP00099	Morus notabilis	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
L484_005757	WRKY	MP00284	Morus notabilis	DAP	PlantTFDB	transfer from AT2G30590(Arabidopsis thaliana)
L484_005785	Dof	MP00166	Morus notabilis	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
L484_005893	TCP	MP00006	Morus notabilis	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
