Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Lus10000463.g	TCP	MP00009	Linum usitatissimum	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
Lus10000492.g	HSF	MP00371	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
Lus10001664.g	NAC	MP00016	Linum usitatissimum	PBM	PlantTFDB	transfer from AT1G32770(Arabidopsis thaliana)
Lus10001871.g	ERF	MP00137	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G12610(Arabidopsis thaliana)
Lus10002056.g	MYB	MP00395	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G47600(Arabidopsis thaliana)
Lus10002337.g	bHLH	MP00036	Linum usitatissimum	PBM	PlantTFDB	transfer from AT5G48560(Arabidopsis thaliana)
Lus10002381.g	Dof	MP00580	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
Lus10002581.g	NAC	MP00507	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Lus10002687.g	NAC	MP00321	Linum usitatissimum	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
Lus10002900.g	bZIP	MP00117	Linum usitatissimum	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Lus10003078.g	TCP	MP00215	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
Lus10003124.g	MIKC_MADS	MP00605	Linum usitatissimum	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
Lus10003128.g	WRKY	MP00506	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
Lus10003199.g	Nin-like	MP00449	Linum usitatissimum	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
Lus10003405.g	CAMTA	MP00043	Linum usitatissimum	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Lus10003557.g	MYB	MP00375	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Lus10003740.g	ERF	MP00156	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Lus10004493.g	NF-YB	MP00133	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G09030(Arabidopsis thaliana)
Lus10004612.g	WRKY	MP00168	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G29860(Arabidopsis thaliana)
Lus10004738.g	ERF	MP00436	Linum usitatissimum	DAP	PlantTFDB	transfer from AT4G16750(Arabidopsis thaliana)
Lus10004806.g	Trihelix	MP00481	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G01380(Arabidopsis thaliana)
Lus10004876.g	bZIP	MP00131	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
Lus10005079.g	MYB	MP00388	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
Lus10005146.g	bZIP	MP00318	Linum usitatissimum	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Lus10005242.g	ZF-HD	MP00536	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G39760(Arabidopsis thaliana)
Lus10005281.g	ERF	MP00441	Linum usitatissimum	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
Lus10005325.g	MIKC_MADS	MP00508	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Lus10005419.g	BES1	MP00248	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Lus10005428.g	WRKY	MP00167	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
Lus10005537.g	NAC	MP00562	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
Lus10005956.g	Dof	MP00407	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
Lus10005966.g	bHLH	MP00100	Linum usitatissimum	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Lus10005967.g	ERF	MP00120	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
Lus10006334.g	ERF	MP00001	Linum usitatissimum	PBM	PlantTFDB	transfer from 471409(Arabidopsis lyrata)
Lus10006368.g	WRKY	MP00094	Linum usitatissimum	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
Lus10006491.g	bHLH	MP00135	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Lus10006547.g	NAC	MP00333	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G04070(Arabidopsis thaliana)
Lus10006579.g	ERF	MP00374	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
Lus10006590.g	bZIP	MP00040	Linum usitatissimum	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Lus10006604.g	CPP	MP00624	Linum usitatissimum	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Lus10006848.g	WRKY	MP00531	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Lus10007100.g	MIKC_MADS	MP00410	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
Lus10007147.g	ZF-HD	MP00238	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
Lus10007318.g	HSF	MP00443	Linum usitatissimum	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Lus10007386.g	ARF	MP00033	Linum usitatissimum	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
Lus10007440.g	ARF	MP00097	Linum usitatissimum	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
Lus10007618.g	bHLH	MP00091	Linum usitatissimum	SELEX	PlantTFDB	transfer from AT4G21330(Arabidopsis thaliana)
Lus10007907.g	WRKY	MP00422	Linum usitatissimum	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Lus10007974.g	bHLH	MP00498	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
Lus10008007.g	HSF	MP00432	Linum usitatissimum	DAP	PlantTFDB	transfer from AT4G11660(Arabidopsis thaliana)
Lus10008197.g	G2-like	MP00532	Linum usitatissimum	DAP	PlantTFDB	transfer from AT5G29000(Arabidopsis thaliana)
Lus10008214.g	ERF	MP00230	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G72360(Arabidopsis thaliana)
Lus10008285.g	NAC	MP00108	Linum usitatissimum	PBM	PlantTFDB	transfer from AT4G35580(Arabidopsis thaliana)
Lus10008419.g	NAC	MP00257	Linum usitatissimum	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Lus10008621.g	TCP	MP00396	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
Lus10008685.g	MYB	MP00348	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G11440(Arabidopsis thaliana)
Lus10008988.g	Trihelix	MP00340	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
Lus10009029.g	NAC	MP00364	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
Lus10009055.g	bZIP	MP00247	Linum usitatissimum	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
Lus10009278.g	C2H2	MP00416	Linum usitatissimum	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Lus10009298.g	LBD	MP00313	Linum usitatissimum	DAP	PlantTFDB	transfer from AT2G45410(Arabidopsis thaliana)
Lus10009334.g	G2-like	MP00475	Linum usitatissimum	DAP	PlantTFDB	transfer from AT4G37180(Arabidopsis thaliana)
