Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Cla000378	NAC	MP00459	Citrullus lanatus	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
Cla000516	SBP	MP00155	Citrullus lanatus	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
Cla000691	MIKC_MADS	MP00605	Citrullus lanatus	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
Cla000703	bHLH	MP00035	Citrullus lanatus	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Cla000783	MYB	MP00028	Citrullus lanatus	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Cla000893	HD-ZIP	MP00200	Citrullus lanatus	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
Cla000929	AP2	MP00610	Citrullus lanatus	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
Cla000975	Dof	MP00580	Citrullus lanatus	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
Cla001480	Trihelix	MP00288	Citrullus lanatus	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Cla001495	NAC	MP00507	Citrullus lanatus	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Cla001587	LBD	MP00128	Citrullus lanatus	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Cla001812	Dof	MP00402	Citrullus lanatus	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
Cla001822	G2-like	MP00629	Citrullus lanatus	PBM	PlantTFDB	transfer from PK14402.1(Cannabis sativa)
Cla001866	C2H2	MP00522	Citrullus lanatus	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
Cla001900	ARF	MP00097	Citrullus lanatus	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
Cla001961	Trihelix	MP00244	Citrullus lanatus	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
Cla002084	WRKY	MP00506	Citrullus lanatus	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
Cla002099	TCP	MP00636	Citrullus lanatus	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Cla002232	SBP	MP00634	Citrullus lanatus	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Cla002237	ERF	MP00623	Citrullus lanatus	PBM	PlantTFDB	transfer from PK19363.1(Cannabis sativa)
Cla002257	Trihelix	MP00413	Citrullus lanatus	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
Cla002400	NAC	MP00108	Citrullus lanatus	PBM	PlantTFDB	transfer from AT4G35580(Arabidopsis thaliana)
Cla002428	TCP	MP00009	Citrullus lanatus	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
Cla002686	G2-like	MP00544	Citrullus lanatus	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
Cla002923	HSF	MP00305	Citrullus lanatus	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
Cla003370	WRKY	MP00506	Citrullus lanatus	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
Cla003506	G2-like	MP00532	Citrullus lanatus	DAP	PlantTFDB	transfer from AT5G29000(Arabidopsis thaliana)
Cla003618	ERF	MP00556	Citrullus lanatus	DAP	PlantTFDB	transfer from AT5G51190(Arabidopsis thaliana)
Cla003729	G2-like	MP00022	Citrullus lanatus	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Cla003748	Trihelix	MP00011	Citrullus lanatus	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Cla003872	bHLH	MP00181	Citrullus lanatus	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Cla003898	C3H	MP00383	Citrullus lanatus	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
