Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
TRIUR3_01477	LBD	MP00309	Triticum urartu	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
TRIUR3_02469	G2-like	MP00174	Triticum urartu	DAP	PlantTFDB	transfer from AT1G32240(Arabidopsis thaliana)
TRIUR3_03219	MIKC_MADS	MP00272	Triticum urartu	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
TRIUR3_03772	MYB	MP00180	Triticum urartu	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
TRIUR3_04352	WRKY	MP00408	Triticum urartu	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
TRIUR3_05083	bZIP	MP00239	Triticum urartu	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
TRIUR3_05298	WRKY	MP00112	Triticum urartu	ampDAP	PlantTFDB	transfer from AT2G46400(Arabidopsis thaliana)
TRIUR3_05738	FAR1	MP00434	Triticum urartu	DAP	PlantTFDB	transfer from AT4G15090(Arabidopsis thaliana)
TRIUR3_06499	MYB_related	MP00551	Triticum urartu	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
TRIUR3_07552	Dof	MP00046	Triticum urartu	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
TRIUR3_07596	WRKY	MP00539	Triticum urartu	DAP	PlantTFDB	transfer from AT5G41570(Arabidopsis thaliana)
TRIUR3_07811	ERF	MP00456	Triticum urartu	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
TRIUR3_08114	GATA	MP00130	Triticum urartu	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
TRIUR3_08260	Trihelix	MP00141	Triticum urartu	DAP	PlantTFDB	transfer from AT1G13450(Arabidopsis thaliana)
TRIUR3_08597	EIL	MP00649	Triticum urartu	PBM	PlantTFDB	transfer from LOC_Os09g31400(Oryza sativa subsp. japonica)
TRIUR3_08598	bZIP	MP00491	Triticum urartu	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
TRIUR3_08978	ERF	MP00204	Triticum urartu	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
