Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
27395.t000003	Dof	MP00199	Ricinus communis	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
27471.t000009	WOX	MP00265	Ricinus communis	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
27482.t000008	AP2	MP00504	Ricinus communis	DAP	PlantTFDB	transfer from AT5G10510(Arabidopsis thaliana)
27524.t000014	ERF	MP00217	Ricinus communis	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
27538.t000013	GATA	MP00130	Ricinus communis	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
27585.t000001	ERF	MP00204	Ricinus communis	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
27613.t000032	WRKY	MP00455	Ricinus communis	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
27757.t000001	G2-like	MP00297	Ricinus communis	DAP	PlantTFDB	transfer from AT2G38300(Arabidopsis thaliana)
27763.t000002	MYB	MP00213	Ricinus communis	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
27798.t000033	MYB	MP00337	Ricinus communis	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
27810.t000010	ERF	MP00411	Ricinus communis	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
27950.t000002	NAC	MP00562	Ricinus communis	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
27961.t000001	NAC	MP00361	Ricinus communis	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
27964.t000002	HD-ZIP	MP00320	Ricinus communis	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
27964.t000024	NAC	MP00321	Ricinus communis	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
27965.t000001	ERF	MP00584	Ricinus communis	DAP	PlantTFDB	transfer from AT5G64750(Arabidopsis thaliana)
27996.t000002	WRKY	MP00171	Ricinus communis	DAP	PlantTFDB	transfer from AT1G30650(Arabidopsis thaliana)
28035.t000005	C2H2	MP00264	Ricinus communis	DAP	PlantTFDB	transfer from AT2G15740(Arabidopsis thaliana)
28118.t000001	ERF	MP00227	Ricinus communis	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
28154.t000003	MYB	MP00053	Ricinus communis	PBM	PlantTFDB	transfer from AT1G22640(Arabidopsis thaliana)
28196.t000011	bZIP	MP00642	Ricinus communis	SELEX	PlantTFDB	transfer from LOC107771743(Nicotiana tabacum)
28200.t000001	NAC	MP00136	Ricinus communis	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
28200.t000003	YABBY	MP00620	Ricinus communis	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
28211.t000006	SBP	MP00359	Ricinus communis	DAP	PlantTFDB	transfer from AT3G15270(Arabidopsis thaliana)
28226.t000021	NAC	MP00277	Ricinus communis	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
28271.t000001	MYB	MP00216	Ricinus communis	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
28288.t000001	MYB	MP00296	Ricinus communis	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
28308.t000003	Trihelix	MP00481	Ricinus communis	DAP	PlantTFDB	transfer from AT5G01380(Arabidopsis thaliana)
28324.t000004	E2F/DP	MP00293	Ricinus communis	DAP	PlantTFDB	transfer from AT2G36010(Arabidopsis thaliana)
28552.t000001	ERF	MP00549	Ricinus communis	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
28623.t000013	NAC	MP00266	Ricinus communis	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
28644.t000031	NAC	MP00178	Ricinus communis	DAP	PlantTFDB	transfer from AT1G34180(Arabidopsis thaliana)
28694.t000005	C2H2	MP00206	Ricinus communis	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
28752.t000019	AP2	MP00615	Ricinus communis	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
28838.t000008	Dof	MP00046	Ricinus communis	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
28872.t000009	NAC	MP00059	Ricinus communis	PBM	PlantTFDB	transfer from AT5G04410(Arabidopsis thaliana)
28872.t000013	NAC	MP00612	Ricinus communis	ChIP-seq	PlantTFDB	transfer from AT3G10490(Arabidopsis thaliana)
28883.t000041	G2-like	MP00160	Ricinus communis	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
28966.t000003	WRKY	MP00071	Ricinus communis	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
28976.t000010	AP2	MP00088	Ricinus communis	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
29216.t000001	bZIP	MP00491	Ricinus communis	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
29216.t000013	bHLH	MP00308	Ricinus communis	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
29269.t000012	SBP	MP00307	Ricinus communis	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
29279.t000001	SRS	MP00613	Ricinus communis	PBM	PlantTFDB	transfer from AT3G51060(Arabidopsis thaliana)
29333.t000010	Dof	MP00405	Ricinus communis	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
29382.t000001	NAC	MP00431	Ricinus communis	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
29447.t000002	bHLH	MP00660	Ricinus communis	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
29562.t000001	AP2	MP00368	Ricinus communis	DAP	PlantTFDB	transfer from AT3G20840(Arabidopsis thaliana)
29576.t000001	Trihelix	MP00244	Ricinus communis	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
29577.t000006	bZIP	MP00126	Ricinus communis	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
29589.t000048	C2H2	MP00522	Ricinus communis	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
29596.t000013	MIKC_MADS	MP00410	Ricinus communis	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
29596.t000033	GATA	MP00369	Ricinus communis	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
29596.t000034	GATA	MP00451	Ricinus communis	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
29598.t000027	bZIP	MP00040	Ricinus communis	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
29602.t000010	MYB	MP00479	Ricinus communis	DAP	PlantTFDB	transfer from AT4G38620(Arabidopsis thaliana)
29603.t000005	bHLH	MP00102	Ricinus communis	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
29609.t000014	ARF	MP00097	Ricinus communis	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
29610.t000017	Trihelix	MP00552	Ricinus communis	DAP	PlantTFDB	transfer from AT5G47660(Arabidopsis thaliana)
29610.t000025	MYB	MP00489	Ricinus communis	DAP	PlantTFDB	transfer from AT5G05790(Arabidopsis thaliana)
29613.t000015	LBD	MP00381	Ricinus communis	DAP	PlantTFDB	transfer from AT3G26620(Arabidopsis thaliana)
