Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
CCG000094.1	Dof	MP00407	Populus euphratica	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
CCG000169.1	MYB	MP00347	Populus euphratica	DAP	PlantTFDB	transfer from AT3G11280(Arabidopsis thaliana)
CCG000229.2	Trihelix	MP00488	Populus euphratica	DAP	PlantTFDB	transfer from AT5G05550(Arabidopsis thaliana)
CCG000251.1	ERF	MP00302	Populus euphratica	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
CCG000272.1	AP2	MP00610	Populus euphratica	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
CCG000297.1	LBD	MP00211	Populus euphratica	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
CCG000315.1	MYB	MP00350	Populus euphratica	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
CCG000403.1	WRKY	MP00067	Populus euphratica	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
CCG000436.1	MIKC_MADS	MP00030	Populus euphratica	SELEX	PlantTFDB	transfer from AT2G03710(Arabidopsis thaliana)
CCG000518.1	CAMTA	MP00435	Populus euphratica	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
CCG000598.1	G2-like	MP00218	Populus euphratica	DAP	PlantTFDB	transfer from AT1G68670(Arabidopsis thaliana)
CCG000725.1	GRAS	MP00611	Populus euphratica	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
CCG000796.1	C2H2	MP00254	Populus euphratica	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
CCG000862.1	MYB	MP00259	Populus euphratica	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
CCG000925.1	CPP	MP00624	Populus euphratica	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
CCG001024.1	bZIP	MP00303	Populus euphratica	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
CCG001091.1	bZIP	MP00389	Populus euphratica	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
CCG001135.1	TCP	MP00215	Populus euphratica	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
CCG001290.1	WRKY	MP00464	Populus euphratica	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
CCG001330.1	NAC	MP00277	Populus euphratica	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
CCG001407.1	SBP	MP00307	Populus euphratica	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
CCG001458.1	HSF	MP00305	Populus euphratica	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
CCG001493.1	bHLH	MP00660	Populus euphratica	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
CCG001613.2	bZIP	MP00040	Populus euphratica	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
CCG002119.1	MYB_related	MP00560	Populus euphratica	DAP	PlantTFDB	transfer from AT5G52660(Arabidopsis thaliana)
CCG002195.1	CPP	MP00045	Populus euphratica	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
CCG002338.1	BBR-BPC	MP00540	Populus euphratica	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
CCG002361.1	E2F/DP	MP00190	Populus euphratica	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
CCG002418.1	MYB_related	MP00515	Populus euphratica	DAP	PlantTFDB	transfer from AT5G17300(Arabidopsis thaliana)
CCG002429.1	MYB_related	MP00625	Populus euphratica	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
CCG002551.1	MYB	MP00442	Populus euphratica	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
CCG002558.1	Dof	MP00580	Populus euphratica	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
CCG002608.1	E2F/DP	MP00397	Populus euphratica	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
