Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
NNU_000153-RA	MYB	MP00213	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
NNU_000160-RA	GRAS	MP00611	Nelumbo nucifera	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
NNU_000301-RA	BBR-BPC	MP00253	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
NNU_000404-RA	TCP	MP00524	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
NNU_000459-RA	ARF	MP00033	Nelumbo nucifera	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
NNU_000528-RA	HD-ZIP	MP00320	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
NNU_000552-RA	NAC	MP00321	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
NNU_000778-RA	bHLH	MP00100	Nelumbo nucifera	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
NNU_000781-RA	MYB	MP00259	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
NNU_000783-RA	HD-ZIP	MP00225	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
NNU_000795-RA	SBP	MP00155	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
NNU_000818-RA	MYB	MP00235	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT1G74650(Arabidopsis thaliana)
NNU_000848-RA	MYB	MP00222	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
NNU_000864-RA	NAC	MP00221	Nelumbo nucifera	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
NNU_000937-RA	WRKY	MP00067	Nelumbo nucifera	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
NNU_000986-RA	TCP	MP00008	Nelumbo nucifera	PBM	PlantTFDB	transfer from 496250(Arabidopsis lyrata)
