Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
MA_1037g0020	ERF	MP00601	Picea abies	PBM	PlantTFDB	transfer from AT1G74930(Arabidopsis thaliana)
MA_10425867g0020	MYB	MP00145	Picea abies	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
MA_10425932g0020	WRKY	MP00506	Picea abies	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
MA_10426233g0010	MYB	MP00505	Picea abies	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
MA_10426586g0010	ERF	MP00623	Picea abies	PBM	PlantTFDB	transfer from PK19363.1(Cannabis sativa)
MA_10428446g0010	TALE	MP00675	Picea abies	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
MA_10429262g0010	LBD	MP00581	Picea abies	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
MA_10430013g0020	C2H2	MP00125	Picea abies	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
MA_10430220g0010	MYB	MP00375	Picea abies	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
MA_10431176g0010	bHLH	MP00498	Picea abies	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
MA_10431762g0010	bZIP	MP00492	Picea abies	DAP	PlantTFDB	transfer from AT5G06950(Arabidopsis thaliana)
MA_10431997g0010	NAC	MP00212	Picea abies	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
MA_10432269g0010	HSF	MP00514	Picea abies	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
MA_10432580g0010	ARF	MP00574	Picea abies	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
MA_10433112g0010	G2-like	MP00252	Picea abies	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
MA_10433428g0010	bHLH	MP00646	Picea abies	PBM	PlantTFDB	transfer from LOC_Os08g39630(Oryza sativa subsp. japonica)
MA_10434782g0020	LBD	MP00211	Picea abies	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
MA_10434976g0010	WRKY	MP00067	Picea abies	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
MA_10435380g0010	MYB	MP00336	Picea abies	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
MA_10435905g0020	bHLH	MP00084	Picea abies	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
MA_10436047g0010	GATA	MP00554	Picea abies	DAP	PlantTFDB	transfer from AT5G49300(Arabidopsis thaliana)
