Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
cra_locus_10206	ZF-HD	MP00258	Catharanthus roseus	DAP	PlantTFDB	transfer from AT2G02540(Arabidopsis thaliana)
cra_locus_10231	TCP	MP00006	Catharanthus roseus	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
cra_locus_102390	WRKY	MP00531	Catharanthus roseus	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
cra_locus_10417	FAR1	MP00078	Catharanthus roseus	ChIP-seq	PlantTFDB	transfer from AT3G22170(Arabidopsis thaliana)
cra_locus_105225	WRKY	MP00069	Catharanthus roseus	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
cra_locus_105375	LBD	MP00314	Catharanthus roseus	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
cra_locus_10655	MYB	MP00055	Catharanthus roseus	PBM	PlantTFDB	transfer from AT5G04760(Arabidopsis thaliana)
cra_locus_10674	MYB	MP00350	Catharanthus roseus	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
cra_locus_10685	bHLH	MP00207	Catharanthus roseus	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
cra_locus_10701	bZIP	MP00184	Catharanthus roseus	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
cra_locus_108663	TCP	MP00667	Catharanthus roseus	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
cra_locus_10924	MIKC_MADS	MP00096	Catharanthus roseus	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
cra_locus_10952	NAC	MP00361	Catharanthus roseus	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
cra_locus_11055	TCP	MP00396	Catharanthus roseus	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
cra_locus_11215	bZIP	MP00157	Catharanthus roseus	DAP	PlantTFDB	transfer from AT1G22070(Arabidopsis thaliana)
cra_locus_11227	HD-ZIP	MP00225	Catharanthus roseus	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
cra_locus_11295	Dof	MP00199	Catharanthus roseus	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
cra_locus_112	MYB	MP00114	Catharanthus roseus	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
cra_locus_11368	ARF	MP00033	Catharanthus roseus	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
cra_locus_11604	TCP	MP00009	Catharanthus roseus	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
cra_locus_117	Trihelix	MP00640	Catharanthus roseus	PBM	PlantTFDB	transfer from MDP0000164819(Malus domestica)
