Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Araha.0005s0004	C2H2	MP00264	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G15740(Arabidopsis thaliana)
Araha.0018s0008	LBD	MP00309	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
Araha.0018s0011	VOZ	MP00018	Arabidopsis halleri	PBM	PlantTFDB	transfer from AT2G42400(Arabidopsis thaliana)
Araha.0027s0004	WRKY	MP00112	Arabidopsis halleri	ampDAP	PlantTFDB	transfer from AT2G46400(Arabidopsis thaliana)
Araha.0049s0014	LBD	MP00128	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Araha.0070s0003	NAC	MP00496	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G07680(Arabidopsis thaliana)
Araha.0097s0005	bZIP	MP00126	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Araha.0100s0001	MYB	MP00429	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT4G05100(Arabidopsis thaliana)
Araha.0121s0001	Trihelix	MP00011	Arabidopsis halleri	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Araha.0152s0006	MYB	MP00513	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
Araha.0173s0015	bHLH	MP00606	Arabidopsis halleri	ChIP-seq	PlantTFDB	transfer from AT2G43010(Arabidopsis thaliana)
Araha.0173s0016	NAC	MP00310	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Araha.0283s0005	WOX	MP00617	Arabidopsis halleri	PBM	PlantTFDB	transfer from AT4G35550(Arabidopsis thaliana)
Araha.0305s0002	CPP	MP00045	Arabidopsis halleri	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
Araha.0400s0001	MYB	MP00427	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT4G01680(Arabidopsis thaliana)
Araha.0403s0001	MYB	MP00577	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G62320(Arabidopsis thaliana)
Araha.0408s0004	C2H2	MP00229	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Araha.0425s0020	bZIP	MP00131	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
Araha.0550s0009	ARR-B	MP00057	Arabidopsis halleri	PBM	PlantTFDB	transfer from AT5G58080(Arabidopsis thaliana)
Araha.0550s0015	bHLH	MP00659	Arabidopsis halleri	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
Araha.0572s0004	ERF	MP00185	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G44830(Arabidopsis thaliana)
Araha.0620s0006	MYB	MP00489	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G05790(Arabidopsis thaliana)
Araha.0650s0016	NAC	MP00136	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Araha.0665s0005	SBP	MP00359	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT3G15270(Arabidopsis thaliana)
Araha.0709s0001	NAC	MP00333	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT3G04070(Arabidopsis thaliana)
Araha.0722s0002	HSF	MP00187	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Araha.0769s0003	TCP	MP00215	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
Araha.0783s0007	AP2	MP00610	Arabidopsis halleri	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
Araha.0879s0003	HD-ZIP	MP00550	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G47370(Arabidopsis thaliana)
Araha.0879s0005	MYB_related	MP00551	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Araha.0937s0001	MYB	MP00191	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Araha.0947s0001	AP2	MP00615	Arabidopsis halleri	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
Araha.10017s0002	SBP	MP00412	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT3G57920(Arabidopsis thaliana)
Araha.10139s0011	WRKY	MP00545	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G46350(Arabidopsis thaliana)
Araha.1020s0004	CPP	MP00370	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT3G22780(Arabidopsis thaliana)
Araha.10219s0008	WRKY	MP00299	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G38470(Arabidopsis thaliana)
Araha.10230s0007	GATA	MP00110	Arabidopsis halleri	ampDAP	PlantTFDB	transfer from AT2G18380(Arabidopsis thaliana)
Araha.10230s0011	ZF-HD	MP00268	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
Araha.10294s0018	bZIP	MP00470	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT4G34590(Arabidopsis thaliana)
Araha.10304s0001	bHLH	MP00308	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
Araha.10304s0009	SBP	MP00307	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
Araha.10347s0003	WRKY	MP00094	Arabidopsis halleri	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
Araha.10381s0001	MYB	MP00386	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT3G28910(Arabidopsis thaliana)
Araha.10390s0005	MYB	MP00385	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT3G27785(Arabidopsis thaliana)
Araha.10424s0001	WRKY	MP00278	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G24570(Arabidopsis thaliana)
Araha.10517s0003	SBP	MP00060	Arabidopsis halleri	PBM	PlantTFDB	transfer from AT3G60030(Arabidopsis thaliana)
Araha.10571s0003	WRKY	MP00464	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
Araha.10628s0004	MYB	MP00438	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT4G17785(Arabidopsis thaliana)
Araha.10681s0002	AP2	MP00088	Arabidopsis halleri	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Araha.10817s0004	bZIP	MP00247	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
Araha.10825s0001	bHLH	MP00082	Arabidopsis halleri	ChIP-seq	PlantTFDB	transfer from AT3G59060(Arabidopsis thaliana)
Araha.1084s0026	NAC	MP00590	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G66300(Arabidopsis thaliana)
Araha.1089s0003	Nin-like	MP00154	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Araha.10968s0006	Dof	MP00210	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G64620(Arabidopsis thaliana)
Araha.10976s0013	MIKC_MADS	MP00609	Arabidopsis halleri	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Araha.11104s0004	WRKY	MP00525	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT5G24110(Arabidopsis thaliana)
Araha.11126s0008	E2F/DP	MP00397	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
Araha.11221s0003	G2-like	MP00261	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
Araha.11372s0005	SBP	MP00161	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT1G27360(Arabidopsis thaliana)
Araha.1138s0030	WRKY	MP00325	Arabidopsis halleri	DAP	PlantTFDB	transfer from AT3G01970(Arabidopsis thaliana)
