Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Kalax.0001s0108	bHLH	MP00181	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Kalax.0001s0201	NAC	MP00212	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
Kalax.0002s0024	NAC	MP00361	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
Kalax.0003s0004	bZIP	MP00038	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
Kalax.0003s0132	bZIP	MP00184	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Kalax.0003s0280	ZF-HD	MP00258	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT2G02540(Arabidopsis thaliana)
Kalax.0004s0169	MYB	MP00538	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT5G40330(Arabidopsis thaliana)
Kalax.0005s0166	bZIP	MP00131	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
Kalax.0006s0093	G2-like	MP00261	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
Kalax.0006s0147	MYB	MP00479	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT4G38620(Arabidopsis thaliana)
Kalax.0007s0142	Trihelix	MP00141	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G13450(Arabidopsis thaliana)
Kalax.0009s0134	MIKC_MADS	MP00096	Kalanchoe marnieriana	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
Kalax.0009s0150	bZIP	MP00647	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
Kalax.0009s0174	G2-like	MP00160	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
Kalax.0010s0013	MYB	MP00510	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT5G14340(Arabidopsis thaliana)
Kalax.0011s0060	ERF	MP00026	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
Kalax.0011s0117	GATA	MP00554	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT5G49300(Arabidopsis thaliana)
Kalax.0011s0164	NAC	MP00108	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT4G35580(Arabidopsis thaliana)
Kalax.0012s0037	BES1	MP00248	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Kalax.0012s0048	Dof	MP00166	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
Kalax.0012s0208	AP2	MP00615	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
Kalax.0013s0019	MYB	MP00114	Kalanchoe marnieriana	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Kalax.0013s0167	NAC	MP00277	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Kalax.0013s0168	ERF	MP00151	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Kalax.0013s0251	WOX	MP00669	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Kalax.0015s0109	Nin-like	MP00449	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
Kalax.0015s0146	TALE	MP00675	Kalanchoe marnieriana	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Kalax.0015s0150	C2H2	MP00592	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Kalax.0016s0097	TCP	MP00384	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT3G27010(Arabidopsis thaliana)
Kalax.0016s0102	B3	MP00382	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Kalax.0016s0161	GATA	MP00048	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
Kalax.0017s0022	HD-ZIP	MP00421	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Kalax.0017s0037	TCP	MP00638	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from Lj0g3v0004489(Lotus japonicus)
Kalax.0017s0138	RAV	MP00024	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT1G25560(Arabidopsis thaliana)
Kalax.0018s0044	MIKC_MADS	MP00272	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
Kalax.0018s0117	TCP	MP00326	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
Kalax.0019s0018	WRKY	MP00408	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
Kalax.0019s0056	ERF	MP00158	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
Kalax.0019s0059	C2H2	MP00196	Kalanchoe marnieriana	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Kalax.0019s0082	Trihelix	MP00288	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Kalax.0021s0117	ERF	MP00312	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Kalax.0022s0004	NAC	MP00016	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT1G32770(Arabidopsis thaliana)
Kalax.0022s0149	WRKY	MP00450	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
Kalax.0022s0203	G2-like	MP00014	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Kalax.0023s0004	Trihelix	MP00011	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Kalax.0024s0092	TCP	MP00636	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
Kalax.0024s0188	G2-like	MP00331	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
Kalax.0025s0007	C2H2	MP00229	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Kalax.0025s0018	WRKY	MP00618	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Kalax.0026s0018	MIKC_MADS	MP00605	Kalanchoe marnieriana	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
Kalax.0027s0063	MYB	MP00055	Kalanchoe marnieriana	PBM	PlantTFDB	transfer from AT5G04760(Arabidopsis thaliana)
Kalax.0027s0136	ERF	MP00240	Kalanchoe marnieriana	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
