Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Pp3c10_22600	GATA	MP00048	Physcomitrella patens	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
Pp3c10_7030	ERF	MP00526	Physcomitrella patens	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Pp3c11_15260	EIL	MP00367	Physcomitrella patens	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
Pp3c11_15370	bHLH	MP00084	Physcomitrella patens	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
Pp3c11_17710	bZIP	MP00117	Physcomitrella patens	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Pp3c11_21140	G2-like	MP00022	Physcomitrella patens	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Pp3c11_23440	HD-ZIP	MP00323	Physcomitrella patens	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
Pp3c11_480	C2H2	MP00229	Physcomitrella patens	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Pp3c1_1650	MYB	MP00222	Physcomitrella patens	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
Pp3c12_14300	MYB_related	MP00551	Physcomitrella patens	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
Pp3c12_17450	MYB_related	MP00625	Physcomitrella patens	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
Pp3c1_21760	bZIP	MP00349	Physcomitrella patens	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Pp3c1_22180	C3H	MP00113	Physcomitrella patens	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
Pp3c1_22185	C3H	MP00113	Physcomitrella patens	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
Pp3c12_24350	SBP	MP00090	Physcomitrella patens	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Pp3c1_27710	ERF	MP00027	Physcomitrella patens	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
Pp3c13_1060	MYB_related	MP00652	Physcomitrella patens	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Pp3c13_10830	WRKY	MP00618	Physcomitrella patens	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Pp3c13_15010	bZIP	MP00239	Physcomitrella patens	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
Pp3c13_15030	bZIP	MP00345	Physcomitrella patens	DAP	PlantTFDB	transfer from AT3G10800(Arabidopsis thaliana)
Pp3c13_20650	NAC	MP00136	Physcomitrella patens	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Pp3c13_23600	C2H2	MP00196	Physcomitrella patens	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Pp3c1_32480	HSF	MP00514	Physcomitrella patens	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
Pp3c13_8760	LFY	MP00095	Physcomitrella patens	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Pp3c14_12390	MYB	MP00564	Physcomitrella patens	DAP	PlantTFDB	transfer from AT5G56110(Arabidopsis thaliana)
Pp3c14_14030	MYB	MP00505	Physcomitrella patens	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
Pp3c14_14040	MYB	MP00505	Physcomitrella patens	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
Pp3c14_15890	bHLH	MP00659	Physcomitrella patens	PBM	PMID:25215497	M0250_1.02
Pp3c14_24090	GATA	MP00198	Physcomitrella patens	DAP	PlantTFDB	transfer from AT1G51600(Arabidopsis thaliana)
Pp3c1_5010	ERF	MP00463	Physcomitrella patens	DAP	PlantTFDB	transfer from AT4G31060(Arabidopsis thaliana)
Pp3c15_13960	G2-like	MP00014	Physcomitrella patens	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Pp3c15_1990	ERF	MP00623	Physcomitrella patens	PBM	PlantTFDB	transfer from PK19363.1(Cannabis sativa)
Pp3c15_20000	WOX	MP00669	Physcomitrella patens	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Pp3c15_4190	Trihelix	MP00288	Physcomitrella patens	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Pp3c15_4400	AP2	MP00616	Physcomitrella patens	PBM	PlantTFDB	transfer from AT5G60120(Arabidopsis thaliana)
Pp3c15_4480	G2-like	MP00261	Physcomitrella patens	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
