Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Aqcoe0077s0002	WRKY	MP00069	Aquilegia coerulea	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Aqcoe1G001100	bZIP	MP00409	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
Aqcoe1G017300	SBP	MP00307	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
Aqcoe1G018500	bZIP	MP00491	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
Aqcoe1G030200	bHLH	MP00646	Aquilegia coerulea	PBM	PlantTFDB	transfer from LOC_Os08g39630(Oryza sativa subsp. japonica)
Aqcoe1G030300	ERF	MP00411	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
Aqcoe1G032100	C2H2	MP00306	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
Aqcoe1G036400	MIKC_MADS	MP00508	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Aqcoe1G046800	bZIP	MP00349	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Aqcoe1G052900	Trihelix	MP00288	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Aqcoe1G078200	Dof	MP00405	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Aqcoe1G083200	MYB	MP00296	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
Aqcoe1G091400	MYB	MP00337	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
Aqcoe1G115900	HD-ZIP	MP00486	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
Aqcoe1G124500	C2H2	MP00522	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
Aqcoe1G126700	NAC	MP00059	Aquilegia coerulea	PBM	PlantTFDB	transfer from AT5G04410(Arabidopsis thaliana)
Aqcoe1G129600	MYB	MP00406	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT3G53200(Arabidopsis thaliana)
Aqcoe1G142700	ARF	MP00461	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
Aqcoe1G146000	WRKY	MP00304	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
Aqcoe1G154800	NAC	MP00250	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Aqcoe1G159900	MYB	MP00350	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
Aqcoe1G169300	MYB	MP00144	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT1G16490(Arabidopsis thaliana)
Aqcoe1G177900	NAC	MP00310	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Aqcoe1G199600	WRKY	MP00440	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Aqcoe1G215900	BES1	MP00248	Aquilegia coerulea	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
