Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Tp1g00240	SBP	MP00090	Thellungiella parvula	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Tp1g00590	NAC	MP00121	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
Tp1g01020	bHLH	MP00100	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
Tp1g01030	ERF	MP00120	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
Tp1g01250	MYB_related	MP00119	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
Tp1g01310	NAC	MP00123	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G02250(Arabidopsis thaliana)
Tp1g02700	C2H2	MP00125	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Tp1g04880	bZIP	MP00126	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Tp1g04970	ERF	MP00023	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G06160(Arabidopsis thaliana)
Tp1g04990	MYB	MP00127	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G06180(Arabidopsis thaliana)
Tp1g05090	LBD	MP00128	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Tp1g05580	bZIP	MP00129	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G06850(Arabidopsis thaliana)
Tp1g06640	GATA	MP00130	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
Tp1g06960	bZIP	MP00131	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
Tp1g07450	MYB	MP00132	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
Tp1g07640	NF-YB	MP00133	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G09030(Arabidopsis thaliana)
Tp1g08130	bHLH	MP00081	Thellungiella parvula	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
Tp1g08140	MYB	MP00134	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
Tp1g08360	MYB	MP00028	Thellungiella parvula	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Tp1g08750	bHLH	MP00135	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Tp1g10880	NAC	MP00136	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Tp1g11200	ERF	MP00137	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G12610(Arabidopsis thaliana)
Tp1g11220	ERF	MP00138	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G12630(Arabidopsis thaliana)
Tp1g11770	RAV	MP00139	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
Tp1g11810	G2-like	MP00140	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G13300(Arabidopsis thaliana)
Tp1g11920	Trihelix	MP00141	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G13450(Arabidopsis thaliana)
Tp1g12930	C2H2	MP00142	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G14580(Arabidopsis thaliana)
Tp1g13090	ZF-HD	MP00143	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G14687(Arabidopsis thaliana)
Tp1g14640	MYB	MP00144	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G16490(Arabidopsis thaliana)
Tp1g15660	MYB_related	MP00652	Thellungiella parvula	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Tp1g16020	MYB	MP00145	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
Tp1g16290	MYB_related	MP00146	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G18330(Arabidopsis thaliana)
Tp1g16520	MYB	MP00147	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G18570(Arabidopsis thaliana)
Tp1g16920	MYB_related	MP00148	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G18960(Arabidopsis thaliana)
Tp1g16960	MYB_related	MP00149	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G19000(Arabidopsis thaliana)
Tp1g17110	ERF	MP00151	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
Tp1g17260	BES1	MP00073	Thellungiella parvula	ChIP-chip	PlantTFDB	transfer from AT1G19350(Arabidopsis thaliana)
Tp1g17600	SRS	MP00152	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G19790(Arabidopsis thaliana)
Tp1g17650	ARF	MP00153	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
Tp1g18360	Nin-like	MP00154	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Tp1g18680	SBP	MP00155	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
Tp1g19450	ERF	MP00156	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Tp1g19580	bZIP	MP00157	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G22070(Arabidopsis thaliana)
Tp1g20150	MYB	MP00053	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G22640(Arabidopsis thaliana)
Tp1g20300	ERF	MP00158	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
Tp1g22650	RAV	MP00024	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G25560(Arabidopsis thaliana)
Tp1g22660	G2-like	MP00160	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
Tp1g22880	MYB	MP00159	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G25340(Arabidopsis thaliana)
Tp1g23520	MIKC_MADS	MP00605	Thellungiella parvula	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
Tp1g23580	SBP	MP00161	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G27360(Arabidopsis thaliana)
Tp1g23960	C2H2	MP00162	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
Tp1g24350	ERF	MP00163	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G28160(Arabidopsis thaliana)
Tp1g24520	B3	MP00032	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G28300(Arabidopsis thaliana)
Tp1g24600	ERF	MP00645	Thellungiella parvula	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
Tp1g24610	ERF	MP00164	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G28370(Arabidopsis thaliana)
Tp1g24720	NAC	MP00165	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G28470(Arabidopsis thaliana)
Tp1g25090	Dof	MP00166	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
Tp1g25210	WRKY	MP00167	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
Tp1g25750	WRKY	MP00168	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G29860(Arabidopsis thaliana)
Tp1g26030	TCP	MP00169	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G30210(Arabidopsis thaliana)
Tp1g26330	HD-ZIP	MP00170	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G30490(Arabidopsis thaliana)
Tp1g26550	WRKY	MP00171	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G30650(Arabidopsis thaliana)
Tp1g26970	MIKC_MADS	MP00172	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G31140(Arabidopsis thaliana)
Tp1g27810	bZIP	MP00173	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G32150(Arabidopsis thaliana)
Tp1g27920	G2-like	MP00174	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G32240(Arabidopsis thaliana)
Tp1g28190	NAC	MP00016	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G32770(Arabidopsis thaliana)
Tp1g28280	bHLH	MP00084	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
Tp1g28390	NAC	MP00175	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G32510(Arabidopsis thaliana)
Tp1g28690	Trihelix	MP00177	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G33240(Arabidopsis thaliana)
Tp1g29410	NAC	MP00178	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G34180(Arabidopsis thaliana)
Tp1g29420	NAC	MP00179	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
Tp1g29590	C2H2	MP00196	Thellungiella parvula	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
Tp1g29770	MYB	MP00180	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G34670(Arabidopsis thaliana)
Tp1g30180	bHLH	MP00181	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Tp1g30610	ERF	MP00182	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G36060(Arabidopsis thaliana)
Tp1g32200	bZIP	MP00019	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
Tp1g32340	ERF	MP00183	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G43160(Arabidopsis thaliana)
Tp1g32720	bZIP	MP00184	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
Tp1g33690	ERF	MP00185	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G44830(Arabidopsis thaliana)
Tp1g34100	bZIP	MP00186	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G45249(Arabidopsis thaliana)
Tp1g34200	HSF	MP00187	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Tp1g34230	ERF	MP00188	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G46768(Arabidopsis thaliana)
Tp1g34840	E2F/DP	MP00190	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
Tp1g35920	MYB	MP00191	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Tp1g36320	B3	MP00192	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G49480(Arabidopsis thaliana)
Tp1g36430	G2-like	MP00193	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G49560(Arabidopsis thaliana)
Tp1g36610	bZIP	MP00087	Thellungiella parvula	SELEX	PlantTFDB	transfer from AT1G49720(Arabidopsis thaliana)
Tp1g36800	MYB_related	MP00607	Thellungiella parvula	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Tp1g37460	ERF	MP00194	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G50640(Arabidopsis thaliana)
Tp1g37890	bHLH	MP00195	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G51140(Arabidopsis thaliana)
Tp1g37960	C2H2	MP00197	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G51220(Arabidopsis thaliana)
Tp1g38240	GATA	MP00198	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G51600(Arabidopsis thaliana)
Tp1g38340	Dof	MP00199	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
Tp1g38700	HD-ZIP	MP00200	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
Tp1g39700	SBP	MP00634	Thellungiella parvula	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
Tp1g39740	ERF	MP00202	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G53170(Arabidopsis thaliana)
Tp1g39800	TCP	MP00203	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G53230(Arabidopsis thaliana)
Tp1g40390	ERF	MP00204	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
Tp1g40770	C2H2	MP00206	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
Tp1g41870	NAC	MP00205	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G54330(Arabidopsis thaliana)
Tp2g00100	Dof	MP00210	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G64620(Arabidopsis thaliana)
Tp2g01550	ERF	MP00104	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G63030(Arabidopsis thaliana)
Tp2g02330	WRKY	MP00209	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
Tp2g03410	NAC	MP00058	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
Tp2g03710	M-type_MADS	MP00208	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G60920(Arabidopsis thaliana)
Tp2g04700	LBD	MP00313	Thellungiella parvula	DAP	PlantTFDB	transfer from AT2G45410(Arabidopsis thaliana)
Tp2g04790	ARF	MP00097	Thellungiella parvula	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
Tp2g04920	bHLH	MP00207	Thellungiella parvula	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
Tp2g07010	G2-like	MP00107	Thellungiella parvula	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Tp2g08290	ERF	MP00029	Thellungiella parvula	PBM	PlantTFDB	transfer from AT5G43410(Arabidopsis thaliana)
Tp2g08640	HSF	MP00541	Thellungiella parvula	DAP	PlantTFDB	transfer from AT5G43840(Arabidopsis thaliana)
Tp2g09030	ERF	MP00542	Thellungiella parvula	DAP	PlantTFDB	transfer from AT5G44210(Arabidopsis thaliana)
