Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Bathy01g03260	ERF	MP00366	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT3G20310(Arabidopsis thaliana)
Bathy01g04040	bZIP	MP00117	Bathycoccus prasinos	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Bathy01g07090	E2F/DP	MP00397	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
Bathy02g02870	GATA	MP00369	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
Bathy03g00420	MYB	MP00028	Bathycoccus prasinos	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
Bathy03g01690	SBP	MP00060	Bathycoccus prasinos	PBM	PlantTFDB	transfer from AT3G60030(Arabidopsis thaliana)
Bathy03g02390	GATA	MP00472	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT4G36620(Arabidopsis thaliana)
Bathy03g02810	GATA	MP00048	Bathycoccus prasinos	PBM	PlantTFDB	transfer from AT4G32890(Arabidopsis thaliana)
Bathy05g02420	MYB_related	MP00654	Bathycoccus prasinos	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
Bathy05g03660	MYB_related	MP00231	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT1G72740(Arabidopsis thaliana)
Bathy07g01790	G2-like	MP00252	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Bathy08g00970	CPP	MP00269	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT2G20110(Arabidopsis thaliana)
Bathy08g01970	Dof	MP00394	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
Bathy08g04400	MYB_related	MP00560	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT5G52660(Arabidopsis thaliana)
Bathy09g00300	MYB	MP00259	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
Bathy09g02260	AP2	MP00088	Bathycoccus prasinos	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Bathy10g00160	bZIP	MP00039	Bathycoccus prasinos	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Bathy10g00280	CPP	MP00624	Bathycoccus prasinos	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
Bathy10g03950	MYB	MP00505	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
Bathy11g02210	MYB	MP00442	Bathycoccus prasinos	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
Bathy12g03630	WOX	MP00669	Bathycoccus prasinos	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
Bathy15g00870	ARR-B	MP00054	Bathycoccus prasinos	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)

