Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Lj0g3v0004489	TCP	MP00638	Lotus japonicus	PBM	PMID:25215497	M1662_1.02
Lj0g3v0034709	ERF	MP00156	Lotus japonicus	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Lj0g3v0040729	TCP	MP00396	Lotus japonicus	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
Lj0g3v0050029	ARR-B	MP00010	Lotus japonicus	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
Lj0g3v0055089	Trihelix	MP00011	Lotus japonicus	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
Lj0g3v0057219	TCP	MP00638	Lotus japonicus	PBM	PMID:25215497	M1662_1.02
Lj0g3v0058429	WRKY	MP00440	Lotus japonicus	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
Lj0g3v0071619	C2H2	MP00125	Lotus japonicus	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Lj0g3v0072079	HD-ZIP	MP00320	Lotus japonicus	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Lj0g3v0074119	MIKC_MADS	MP00508	Lotus japonicus	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Lj0g3v0075529	AP2	MP00368	Lotus japonicus	DAP	PlantTFDB	transfer from AT3G20840(Arabidopsis thaliana)
Lj0g3v0079069	WRKY	MP00408	Lotus japonicus	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
Lj0g3v0080089	MYB	MP00279	Lotus japonicus	DAP	PlantTFDB	transfer from AT2G26960(Arabidopsis thaliana)
Lj0g3v0083039	TALE	MP00675	Lotus japonicus	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Lj0g3v0084249	bHLH	MP00606	Lotus japonicus	ChIP-seq	PlantTFDB	transfer from AT2G43010(Arabidopsis thaliana)
Lj0g3v0085519	MYB	MP00567	Lotus japonicus	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
Lj0g3v0089699	MYB	MP00191	Lotus japonicus	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Lj0g3v0096239	ERF	MP00109	Lotus japonicus	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
Lj0g3v0102869	NAC	MP00165	Lotus japonicus	DAP	PlantTFDB	transfer from AT1G28470(Arabidopsis thaliana)
Lj0g3v0106459	Dof	MP00405	Lotus japonicus	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Lj0g3v0112049	B3	MP00468	Lotus japonicus	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Lj0g3v0114779	ERF	MP00217	Lotus japonicus	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
