Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Tp57577_TGAC_v2_gene10365	bZIP	MP00291	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10369	HD-ZIP	MP00322	Trifolium pratense	DAP	PlantTFDB	transfer from AT3G01220(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10439	MYB	MP00567	Trifolium pratense	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene1044	bHLH	MP00084	Trifolium pratense	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10453	CAMTA	MP00043	Trifolium pratense	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10493	G2-like	MP00378	Trifolium pratense	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10496	G2-like	MP00252	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10584	Trihelix	MP00552	Trifolium pratense	DAP	PlantTFDB	transfer from AT5G47660(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10619	C2H2	MP00306	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G41835(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10624	bZIP	MP00019	Trifolium pratense	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene10666	WOX	MP00330	Trifolium pratense	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11119	MYB_related	MP00148	Trifolium pratense	DAP	PlantTFDB	transfer from AT1G18960(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11174	C2H2	MP00256	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11239	LBD	MP00381	Trifolium pratense	DAP	PlantTFDB	transfer from AT3G26620(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11282	GATA	MP00377	Trifolium pratense	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11354	G2-like	MP00629	Trifolium pratense	PBM	PlantTFDB	transfer from PK14402.1(Cannabis sativa)
Tp57577_TGAC_v2_gene11559	GATA	MP00130	Trifolium pratense	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11640	ERF	MP00645	Trifolium pratense	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
Tp57577_TGAC_v2_gene11685	Trihelix	MP00413	Trifolium pratense	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11716	ARF	MP00021	Trifolium pratense	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11756	ERF	MP00441	Trifolium pratense	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene11826	MYB	MP00235	Trifolium pratense	DAP	PlantTFDB	transfer from AT1G74650(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene12176	TCP	MP00065	Trifolium pratense	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene12342	BES1	MP00073	Trifolium pratense	ChIP-chip	PlantTFDB	transfer from AT1G19350(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene12646	MYB	MP00334	Trifolium pratense	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene12937	SBP	MP00555	Trifolium pratense	DAP	PlantTFDB	transfer from AT5G50570(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene12949	bZIP	MP00040	Trifolium pratense	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene12984	BES1	MP00248	Trifolium pratense	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene13055	WRKY	MP00209	Trifolium pratense	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene13081	bHLH	MP00135	Trifolium pratense	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene13083	AP2	MP00088	Trifolium pratense	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene13130	MYB	MP00089	Trifolium pratense	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene13241	SBP	MP00307	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene1362	NAC	MP00277	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene13675	B3	MP00468	Trifolium pratense	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene13712	HSF	MP00379	Trifolium pratense	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene1374	MYB	MP00466	Trifolium pratense	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene13933	bHLH	MP00091	Trifolium pratense	SELEX	PlantTFDB	transfer from AT4G21330(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene1421	C2H2	MP00229	Trifolium pratense	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene14263	C2H2	MP00125	Trifolium pratense	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene14579	WRKY	MP00275	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G23320(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene14631	ERF	MP00520	Trifolium pratense	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene14732	MYB	MP00564	Trifolium pratense	DAP	PlantTFDB	transfer from AT5G56110(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene14747	bHLH	MP00606	Trifolium pratense	ChIP-seq	PlantTFDB	transfer from AT2G43010(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene15109	GATA	MP00530	Trifolium pratense	DAP	PlantTFDB	transfer from AT5G25830(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene15130	NAC	MP00431	Trifolium pratense	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene15731	G2-like	MP00107	Trifolium pratense	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene1573	MYB	MP00296	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene15864	bHLH	MP00102	Trifolium pratense	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene15905	HD-ZIP	MP00320	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Tp57577_TGAC_v2_gene16315	LBD	MP00309	Trifolium pratense	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
