Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Sp_001520_mpcs	Nin-like	MP00154	Spinacia oleracea	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
Sp_001670_kniy	LBD	MP00211	Spinacia oleracea	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
Sp_001950_idwu	WOX	MP00265	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
Sp_004030_rqud	Dof	MP00580	Spinacia oleracea	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
Sp_004370_hrut	HD-ZIP	MP00271	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G22430(Arabidopsis thaliana)
Sp_005440_jamk	EIL	MP00233	Spinacia oleracea	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
Sp_005840_iyxx	Dof	MP00402	Spinacia oleracea	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
Sp_005860_fgmk	ERF	MP00526	Spinacia oleracea	DAP	PlantTFDB	transfer from AT5G25190(Arabidopsis thaliana)
Sp_008030_ekix	bZIP	MP00262	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G04038(Arabidopsis thaliana)
Sp_008990_hyhf	ERF	MP00163	Spinacia oleracea	DAP	PlantTFDB	transfer from AT1G28160(Arabidopsis thaliana)
Sp_009720_kgso	WRKY	MP00428	Spinacia oleracea	DAP	PlantTFDB	transfer from AT4G04450(Arabidopsis thaliana)
Sp_009820_oxzq	C2H2	MP00254	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Sp_010770_sfci	Dof	MP00405	Spinacia oleracea	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Sp_010850_ckzq	WRKY	MP00284	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G30590(Arabidopsis thaliana)
Sp_011330_gdsx	ERF	MP00549	Spinacia oleracea	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
Sp_011410_jgxg	SBP	MP00604	Spinacia oleracea	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Sp_011540_epwz	WRKY	MP00455	Spinacia oleracea	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
Sp_012420_kmmx	NAC	MP00431	Spinacia oleracea	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
Sp_014630_xyza	WRKY	MP00304	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
Sp_015210_zrxi	bHLH	MP00135	Spinacia oleracea	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Sp_017620_pjxq	NAC	MP00507	Spinacia oleracea	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Sp_018030_yjcc	bHLH	MP00035	Spinacia oleracea	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Sp_021610_powa	Trihelix	MP00288	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Sp_022850_umkr	MIKC_MADS	MP00096	Spinacia oleracea	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
Sp_023170_ocqo	MIKC_MADS	MP00609	Spinacia oleracea	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Sp_023380_jnpe	ERF	MP00156	Spinacia oleracea	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
Sp_024910_nchh	bHLH	MP00659	Spinacia oleracea	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
Sp_025120_zkzs	HD-ZIP	MP00200	Spinacia oleracea	DAP	PlantTFDB	transfer from AT1G52150(Arabidopsis thaliana)
Sp_025660_sqcn	HD-ZIP	MP00550	Spinacia oleracea	DAP	PlantTFDB	transfer from AT5G47370(Arabidopsis thaliana)
Sp_028020_doqm	NAC	MP00250	Spinacia oleracea	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
Sp_028340_qorz	NAC	MP00059	Spinacia oleracea	PBM	PlantTFDB	transfer from AT5G04410(Arabidopsis thaliana)
Sp_028480_oaxd	bZIP	MP00291	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
Sp_028800_hini	NAC	MP00277	Spinacia oleracea	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
