Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
glysoja_000305	ERF	MP00509	Glycine soja	DAP	PlantTFDB	transfer from AT5G13910(Arabidopsis thaliana)
glysoja_000466	NAC	MP00017	Glycine soja	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
glysoja_000573	G2-like	MP00160	Glycine soja	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
glysoja_000620	NAC	MP00612	Glycine soja	ChIP-seq	PlantTFDB	transfer from AT3G10490(Arabidopsis thaliana)
glysoja_000625	C2H2	MP00487	Glycine soja	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
glysoja_000857	NAC	MP00460	Glycine soja	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
glysoja_001220	NAC	MP00280	Glycine soja	DAP	PlantTFDB	transfer from AT2G27300(Arabidopsis thaliana)
glysoja_001259	MYB	MP00287	Glycine soja	DAP	PlantTFDB	transfer from AT2G32460(Arabidopsis thaliana)
glysoja_001395	G2-like	MP00022	Glycine soja	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
glysoja_001410	TCP	MP00009	Glycine soja	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
glysoja_001524	NAC	MP00361	Glycine soja	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
glysoja_001579	NAC	MP00562	Glycine soja	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
glysoja_001649	BES1	MP00248	Glycine soja	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
glysoja_002027	WRKY	MP00069	Glycine soja	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
glysoja_002546	LBD	MP00309	Glycine soja	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
glysoja_002778	MYB_related	MP00565	Glycine soja	DAP	PlantTFDB	transfer from AT5G56840(Arabidopsis thaliana)
glysoja_003162	WOX	MP00265	Glycine soja	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
glysoja_003170	NAC	MP00266	Glycine soja	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
glysoja_003233	ZF-HD	MP00268	Glycine soja	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
glysoja_003267	HD-ZIP	MP00473	Glycine soja	DAP	PlantTFDB	transfer from AT4G36740(Arabidopsis thaliana)
glysoja_003449	HD-ZIP	MP00477	Glycine soja	DAP	PlantTFDB	transfer from AT4G37790(Arabidopsis thaliana)
glysoja_003498	BES1	MP00543	Glycine soja	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
glysoja_003712	ZF-HD	MP00268	Glycine soja	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
glysoja_003799	G2-like	MP00475	Glycine soja	DAP	PlantTFDB	transfer from AT4G37180(Arabidopsis thaliana)
glysoja_003832	bHLH	MP00035	Glycine soja	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
