Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LOC107403268	bZIP	MP00291	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT2G35530(Arabidopsis thaliana)
LOC107403423	bZIP	MP00184	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
LOC107403500	TCP	MP00636	Ziziphus jujuba	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
LOC107403527	MYB	MP00476	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
LOC107403723	YABBY	MP00620	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
LOC107403899	Dof	MP00199	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
LOC107404041	NAC	MP00518	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G18270(Arabidopsis thaliana)
LOC107404421	ERF	MP00674	Ziziphus jujuba	SELEX	PlantTFDB	transfer from GRMZM2G093595(Zea mays)
LOC107404478	MYB	MP00479	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G38620(Arabidopsis thaliana)
LOC107404531	bHLH	MP00219	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
LOC107404563	SBP	MP00155	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
LOC107404587	WRKY	MP00440	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
LOC107404664	bHLH	MP00195	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G51140(Arabidopsis thaliana)
LOC107404773	WRKY	MP00464	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
LOC107404975	ERF	MP00151	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
LOC107405051	NAC	MP00136	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
LOC107405052	ERF	MP00558	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
LOC107405053	ERF	MP00557	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
LOC107405089	BBR-BPC	MP00253	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
LOC107405095	bZIP	MP00126	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
LOC107405158	Dof	MP00046	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT5G39660(Arabidopsis thaliana)
LOC107405366	G2-like	MP00297	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT2G38300(Arabidopsis thaliana)
LOC107405484	bZIP	MP00491	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
LOC107405772	ERF	MP00456	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
LOC107405867	bZIP	MP00117	Ziziphus jujuba	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
LOC107406029	ERF	MP00156	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
LOC107406060	bZIP	MP00419	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
LOC107406208	SBP	MP00634	Ziziphus jujuba	PBM	PlantTFDB	transfer from PK22320.1(Cannabis sativa)
LOC107406265	ERF	MP00519	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G18450(Arabidopsis thaliana)
LOC107406288	WRKY	MP00304	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT2G40740(Arabidopsis thaliana)
LOC107406290	WRKY	MP00408	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
LOC107406321	MYB	MP00427	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G01680(Arabidopsis thaliana)
LOC107406469	MYB	MP00213	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G66370(Arabidopsis thaliana)
LOC107406622	WRKY	MP00464	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
LOC107406670	WRKY	MP00094	Ziziphus jujuba	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
LOC107406933	WRKY	MP00251	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
LOC107407016	WRKY	MP00506	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
LOC107407232	WRKY	MP00251	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
LOC107407281	bHLH	MP00660	Ziziphus jujuba	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
LOC107407304	WRKY	MP00251	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
LOC107407618	NAC	MP00108	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT4G35580(Arabidopsis thaliana)
LOC107407717	MYB	MP00395	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT3G47600(Arabidopsis thaliana)
LOC107407869	MYB	MP00296	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
LOC107408332	ERF	MP00026	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
LOC107408475	bHLH	MP00102	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
LOC107408788	GRAS	MP00611	Ziziphus jujuba	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
LOC107409025	WRKY	MP00506	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
LOC107409049	MYB	MP00145	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
LOC107409268	GRAS	MP00611	Ziziphus jujuba	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
LOC107409444	ERF	MP00217	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
LOC107409571	MYB	MP00427	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G01680(Arabidopsis thaliana)
LOC107409729	NAC	MP00280	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT2G27300(Arabidopsis thaliana)
LOC107409758	MYB	MP00427	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G01680(Arabidopsis thaliana)
LOC107409892	bZIP	MP00131	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
LOC107409916	bHLH	MP00207	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G59640(Arabidopsis thaliana)
LOC107410147	TCP	MP00524	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
LOC107410460	EIL	MP00367	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
LOC107410557	Dof	MP00166	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
LOC107410839	C3H	MP00566	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
LOC107411020	G2-like	MP00014	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
LOC107411160	ERF	MP00441	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
LOC107411289	AP2	MP00615	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
LOC107411360	GATA	MP00047	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT1G08000(Arabidopsis thaliana)
LOC107411450	MYB_related	MP00052	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT1G15720(Arabidopsis thaliana)
LOC107411598	MYB_related	MP00052	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT1G15720(Arabidopsis thaliana)
LOC107411686	M-type_MADS	MP00553	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
LOC107411687	bHLH	MP00081	Ziziphus jujuba	ChIP-seq	PlantTFDB	transfer from AT1G09530(Arabidopsis thaliana)
LOC107411970	NAC	MP00459	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
LOC107412017	ARF	MP00021	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
LOC107412147	Trihelix	MP00011	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
LOC107412221	bZIP	MP00040	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
LOC107412324	MYB	MP00028	Ziziphus jujuba	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
LOC107412369	WRKY	MP00167	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
LOC107412425	HSF	MP00443	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
LOC107412485	AP2	MP00610	Ziziphus jujuba	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
LOC107412598	TCP	MP00006	Ziziphus jujuba	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
LOC107412629	bHLH	MP00195	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G51140(Arabidopsis thaliana)
LOC107412697	MIKC_MADS	MP00077	Ziziphus jujuba	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
LOC107412752	MYB	MP00350	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT3G12720(Arabidopsis thaliana)
LOC107412762	NAC	MP00205	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT1G54330(Arabidopsis thaliana)
LOC107412845	MYB	MP00348	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT3G11440(Arabidopsis thaliana)
LOC107412942	bZIP	MP00409	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
LOC107413065	MIKC_MADS	MP00609	Ziziphus jujuba	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
LOC107413154	MYB	MP00055	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT5G04760(Arabidopsis thaliana)
LOC107413259	NAC	MP00059	Ziziphus jujuba	PBM	PlantTFDB	transfer from AT5G04410(Arabidopsis thaliana)
LOC107413275	C2H2	MP00487	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
LOC107413278	NAC	MP00612	Ziziphus jujuba	ChIP-seq	PlantTFDB	transfer from AT3G10490(Arabidopsis thaliana)
LOC107413317	C3H	MP00383	Ziziphus jujuba	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
LOC107413404	WRKY	MP00440	Ziziphus jujuba	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
