Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
676700762	ERF	MP00194	Sisymbrium irio	DAP	PlantTFDB	transfer from AT1G50640(Arabidopsis thaliana)
676700830	TCP	MP00007	Sisymbrium irio	PBM	PlantTFDB	transfer from 495258(Arabidopsis lyrata)
676704276	ERF	MP00520	Sisymbrium irio	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
676706854	MYB	MP00089	Sisymbrium irio	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
676707074	WRKY	MP00561	Sisymbrium irio	DAP	PlantTFDB	transfer from AT5G52830(Arabidopsis thaliana)
676708010	bHLH	MP00084	Sisymbrium irio	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
676708482	ERF	MP00104	Sisymbrium irio	PBM	PlantTFDB	transfer from AT1G63030(Arabidopsis thaliana)
676708560	HSF	MP00187	Sisymbrium irio	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
676708632	G2-like	MP00331	Sisymbrium irio	DAP	PlantTFDB	transfer from AT3G04030(Arabidopsis thaliana)
676708942	TCP	MP00169	Sisymbrium irio	DAP	PlantTFDB	transfer from AT1G30210(Arabidopsis thaliana)
676709324	ERF	MP00276	Sisymbrium irio	DAP	PlantTFDB	transfer from AT2G23340(Arabidopsis thaliana)
676709428	HD-ZIP	MP00477	Sisymbrium irio	DAP	PlantTFDB	transfer from AT4G37790(Arabidopsis thaliana)
676709648	bZIP	MP00533	Sisymbrium irio	DAP	PlantTFDB	transfer from AT5G38800(Arabidopsis thaliana)
676710036	EIL	MP00367	Sisymbrium irio	DAP	PlantTFDB	transfer from AT3G20770(Arabidopsis thaliana)
676710060	ERF	MP00286	Sisymbrium irio	DAP	PlantTFDB	transfer from AT2G31230(Arabidopsis thaliana)
676710062	bHLH	MP00285	Sisymbrium irio	DAP	PlantTFDB	transfer from AT2G31220(Arabidopsis thaliana)
676710088	ERF	MP00286	Sisymbrium irio	DAP	PlantTFDB	transfer from AT2G31230(Arabidopsis thaliana)
676710090	bHLH	MP00285	Sisymbrium irio	DAP	PlantTFDB	transfer from AT2G31220(Arabidopsis thaliana)
