Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
SapurV1A.0001s0490	Trihelix	MP00481	Salix purpurea	DAP	PlantTFDB	transfer from AT5G01380(Arabidopsis thaliana)
SapurV1A.0001s1810	MYB	MP00482	Salix purpurea	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
SapurV1A.0001s1930	Dof	MP00295	Salix purpurea	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
SapurV1A.0001s2050	bZIP	MP00294	Salix purpurea	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
SapurV1A.0003s0380	MYB_related	MP00654	Salix purpurea	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
SapurV1A.0003s0530	NAC	MP00321	Salix purpurea	DAP	PlantTFDB	transfer from AT2G46770(Arabidopsis thaliana)
SapurV1A.0003s0740	HD-ZIP	MP00650	Salix purpurea	PBM	PlantTFDB	transfer from LOC_Os09g35910(Oryza sativa subsp. japonica)
SapurV1A.0004s0390	TALE	MP00675	Salix purpurea	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
SapurV1A.0004s0630	GATA	MP00451	Salix purpurea	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
SapurV1A.0006s0980	LBD	MP00309	Salix purpurea	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
SapurV1A.0007s0940	bHLH	MP00102	Salix purpurea	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
SapurV1A.0009s0030	C2H2	MP00264	Salix purpurea	DAP	PlantTFDB	transfer from AT2G15740(Arabidopsis thaliana)
SapurV1A.0009s0400	bHLH	MP00195	Salix purpurea	DAP	PlantTFDB	transfer from AT1G51140(Arabidopsis thaliana)
SapurV1A.0009s0880	Trihelix	MP00356	Salix purpurea	DAP	PlantTFDB	transfer from AT3G14180(Arabidopsis thaliana)
SapurV1A.0009s1200	bZIP	MP00349	Salix purpurea	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
SapurV1A.0010s0170	ERF	MP00026	Salix purpurea	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
SapurV1A.0011s0490	LBD	MP00581	Salix purpurea	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
SapurV1A.0012s0510	SBP	MP00290	Salix purpurea	DAP	PlantTFDB	transfer from AT2G33810(Arabidopsis thaliana)
SapurV1A.0012s0780	ARF	MP00021	Salix purpurea	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
SapurV1A.0012s0900	ERF	MP00441	Salix purpurea	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
SapurV1A.0013s0250	ERF	MP00120	Salix purpurea	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
SapurV1A.0013s0270	bHLH	MP00100	Salix purpurea	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
SapurV1A.0013s0280	bHLH	MP00100	Salix purpurea	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
SapurV1A.0013s0770	bZIP	MP00318	Salix purpurea	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
SapurV1A.0013s1020	WRKY	MP00539	Salix purpurea	DAP	PlantTFDB	transfer from AT5G41570(Arabidopsis thaliana)
SapurV1A.0013s1050	WRKY	MP00422	Salix purpurea	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
SapurV1A.0013s1130	MYB_related	MP00423	Salix purpurea	DAP	PlantTFDB	transfer from AT4G01280(Arabidopsis thaliana)
SapurV1A.0014s0030	WRKY	MP00069	Salix purpurea	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
SapurV1A.0014s0380	SBP	MP00633	Salix purpurea	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
SapurV1A.0015s0210	GRAS	MP00611	Salix purpurea	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
SapurV1A.0015s0840	BBR-BPC	MP00253	Salix purpurea	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
SapurV1A.0015s0850	C2H2	MP00254	Salix purpurea	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
SapurV1A.0016s0070	SBP	MP00664	Salix purpurea	PBM	PlantTFDB	transfer from Potri.002G002400(Populus trichocarpa)
SapurV1A.0016s0340	NAC	MP00241	Salix purpurea	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
SapurV1A.0016s0650	Nin-like	MP00154	Salix purpurea	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
SapurV1A.0018s0040	ERF	MP00411	Salix purpurea	DAP	PlantTFDB	transfer from AT3G57600(Arabidopsis thaliana)
SapurV1A.0018s0320	bHLH	MP00308	Salix purpurea	DAP	PlantTFDB	transfer from AT2G42280(Arabidopsis thaliana)
SapurV1A.0018s0400	bZIP	MP00491	Salix purpurea	DAP	PlantTFDB	transfer from AT5G06839(Arabidopsis thaliana)
SapurV1A.0018s0470	SBP	MP00307	Salix purpurea	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
SapurV1A.0019s0460	MYB_related	MP00607	Salix purpurea	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
SapurV1A.0021s0980	ERF	MP00374	Salix purpurea	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
SapurV1A.0022s0550	ERF	MP00520	Salix purpurea	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
SapurV1A.0023s0530	NF-YB	MP00300	Salix purpurea	DAP	PlantTFDB	transfer from AT2G38880(Arabidopsis thaliana)
SapurV1A.0024s0060	MYB	MP00114	Salix purpurea	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
SapurV1A.0024s0520	TCP	MP00667	Salix purpurea	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
SapurV1A.0024s0780	LBD	MP00314	Salix purpurea	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
SapurV1A.0025s0470	E2F/DP	MP00190	Salix purpurea	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
SapurV1A.0025s0690	BBR-BPC	MP00540	Salix purpurea	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
SapurV1A.0027s0350	MYB	MP00336	Salix purpurea	DAP	PlantTFDB	transfer from AT3G08500(Arabidopsis thaliana)
SapurV1A.0027s0860	MIKC_MADS	MP00508	Salix purpurea	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
SapurV1A.0028s0480	bHLH	MP00091	Salix purpurea	SELEX	PlantTFDB	transfer from AT4G21330(Arabidopsis thaliana)
SapurV1A.0029s0080	MIKC_MADS	MP00609	Salix purpurea	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
SapurV1A.0029s0230	HSF	MP00443	Salix purpurea	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
SapurV1A.0030s0410	WRKY	MP00455	Salix purpurea	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
SapurV1A.0032s0310	B3	MP00032	Salix purpurea	PBM	PlantTFDB	transfer from AT1G28300(Arabidopsis thaliana)
SapurV1A.0032s0340	TCP	MP00396	Salix purpurea	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
SapurV1A.0032s0450	ERF	MP00645	Salix purpurea	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
