Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
F511_00023	CAMTA	MP00042	Dorcoceras hygrometricum	PBM	PlantTFDB	transfer from AT2G22300(Arabidopsis thaliana)
F511_00030	HD-ZIP	MP00051	Dorcoceras hygrometricum	PBM	PlantTFDB	transfer from AT4G40060(Arabidopsis thaliana)
F511_00049	AP2	MP00589	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT5G65510(Arabidopsis thaliana)
F511_00054	MYB	MP00513	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
F511_00074	NAC	MP00212	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
F511_00690	TCP	MP00524	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
F511_00739	bZIP	MP00126	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
F511_00750	GATA	MP00377	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
F511_01213	NAC	MP00431	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT4G10350(Arabidopsis thaliana)
F511_01221	LBD	MP00211	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
F511_01223	ERF	MP00519	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT5G18450(Arabidopsis thaliana)
F511_01309	TALE	MP00675	Dorcoceras hygrometricum	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
F511_01315	bHLH	MP00135	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
F511_01335	MYB	MP00567	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
F511_01357	WRKY	MP00450	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT4G24240(Arabidopsis thaliana)
F511_01361	ERF	MP00020	Dorcoceras hygrometricum	PBM	PlantTFDB	transfer from AT4G36900(Arabidopsis thaliana)
F511_01409	NAC	MP00250	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
F511_01415	NAC	MP00205	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT1G54330(Arabidopsis thaliana)
F511_01603	ARR-B	MP00010	Dorcoceras hygrometricum	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
F511_01849	WRKY	MP00440	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
F511_01866	BES1	MP00248	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
F511_01867	HSF	MP00443	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
F511_01903	ARF	MP00021	Dorcoceras hygrometricum	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
F511_01907	NAC	MP00459	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
F511_01968	bZIP	MP00389	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
F511_02216	MYB	MP00579	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT5G62470(Arabidopsis thaliana)
F511_02252	TCP	MP00215	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT1G67260(Arabidopsis thaliana)
F511_02279	TCP	MP00326	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
F511_02333	MYB	MP00442	Dorcoceras hygrometricum	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
F511_02577	CPP	MP00045	Dorcoceras hygrometricum	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
