Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Rsa1.0_00001.1_g00034.1	GATA	MP00451	Raphanus sativus	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
Rsa1.0_00005.1_g00002.1	AP2	MP00368	Raphanus sativus	DAP	PlantTFDB	transfer from AT3G20840(Arabidopsis thaliana)
Rsa1.0_00005.1_g00025.1	GATA	MP00369	Raphanus sativus	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
Rsa1.0_00008.1_g00039.1	HSF	MP00328	Raphanus sativus	DAP	PlantTFDB	transfer from AT3G02990(Arabidopsis thaliana)
Rsa1.0_00008.1_g00055.1	NAC	MP00329	Raphanus sativus	DAP	PlantTFDB	transfer from AT3G03200(Arabidopsis thaliana)
Rsa1.0_00008.1_g00082.1	WOX	MP00330	Raphanus sativus	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
Rsa1.0_00009.1_g00005.1	LBD	MP00128	Raphanus sativus	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
Rsa1.0_00011.1_g00005.1	NAC	MP00460	Raphanus sativus	DAP	PlantTFDB	transfer from AT4G29230(Arabidopsis thaliana)
Rsa1.0_00012.1_g00021.1	WRKY	MP00067	Raphanus sativus	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Rsa1.0_00012.1_g00031.1	YABBY	MP00220	Raphanus sativus	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Rsa1.0_00012.1_g00035.1	MIKC_MADS	MP00096	Raphanus sativus	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
Rsa1.0_00015.1_g00034.1	BES1	MP00073	Raphanus sativus	ChIP-chip	PlantTFDB	transfer from AT1G19350(Arabidopsis thaliana)
Rsa1.0_00016.1_g00001.1	MYB	MP00599	Raphanus sativus	PBM	PlantTFDB	transfer from AT5G12870(Arabidopsis thaliana)
Rsa1.0_00016.1_g00047.1	MYB	MP00505	Raphanus sativus	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
Rsa1.0_00016.1_g00067.1	bZIP	MP00117	Raphanus sativus	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Rsa1.0_00017.1_g00025.1	WRKY	MP00464	Raphanus sativus	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
Rsa1.0_00017.1_g00127.1	ERF	MP00467	Raphanus sativus	DAP	PlantTFDB	transfer from AT4G32800(Arabidopsis thaliana)
Rsa1.0_00018.1_g00063.1	ERF	MP00137	Raphanus sativus	DAP	PlantTFDB	transfer from AT1G12610(Arabidopsis thaliana)
