Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Seita.1G003700	Trihelix	MP00651	Setaria italica	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
Seita.1G009800	WRKY	MP00422	Setaria italica	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Seita.1G043800	bZIP	MP00117	Setaria italica	ampDAP	PlantTFDB	transfer from AT5G11260(Arabidopsis thaliana)
Seita.1G051200	C3H	MP00113	Setaria italica	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
Seita.1G055900	ERF	MP00194	Setaria italica	DAP	PlantTFDB	transfer from AT1G50640(Arabidopsis thaliana)
Seita.1G061200	ARR-B	MP00072	Setaria italica	SELEX	PlantTFDB	transfer from AT4G31920(Arabidopsis thaliana)
Seita.1G062100	WRKY	MP00251	Setaria italica	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
Seita.1G096900	bZIP	MP00470	Setaria italica	DAP	PlantTFDB	transfer from AT4G34590(Arabidopsis thaliana)
Seita.1G099800	BES1	MP00543	Setaria italica	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
Seita.1G117800	C2H2	MP00229	Setaria italica	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Seita.1G146600	G2-like	MP00160	Setaria italica	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
Seita.1G173200	Trihelix	MP00288	Setaria italica	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Seita.1G183300	M-type_MADS	MP00553	Setaria italica	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Seita.1G209300	MIKC_MADS	MP00410	Setaria italica	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
Seita.1G239400	MYB	MP00375	Setaria italica	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Seita.1G246200	TCP	MP00655	Setaria italica	PBM	PlantTFDB	transfer from LOC_Os02g42380(Oryza sativa subsp. japonica)
Seita.1G251600	YABBY	MP00620	Setaria italica	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Seita.1G251900	NAC	MP00136	Setaria italica	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Seita.1G255500	WRKY	MP00618	Setaria italica	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
