Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
evm_27.TU.AmTr_v1.0_scaffold00001.225	MIKC_MADS	MP00077	Amborella trichopoda	ChIP-seq	PlantTFDB	transfer from AT3G54340(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00001.321	Trihelix	MP00651	Amborella trichopoda	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
evm_27.TU.AmTr_v1.0_scaffold00001.380	MYB_related	MP00625	Amborella trichopoda	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
evm_27.TU.AmTr_v1.0_scaffold00001.409	MIKC_MADS	MP00076	Amborella trichopoda	ChIP-chip	PlantTFDB	transfer from AT2G45660(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00001.413	MIKC_MADS	MP00315	Amborella trichopoda	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00001.511	MYB_related	MP00654	Amborella trichopoda	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
evm_27.TU.AmTr_v1.0_scaffold00002.248	bHLH	MP00084	Amborella trichopoda	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00002.534	bZIP	MP00040	Amborella trichopoda	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00002.627	Trihelix	MP00011	Amborella trichopoda	PBM	PlantTFDB	transfer from AT5G28300(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00002.637	CPP	MP00624	Amborella trichopoda	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
evm_27.TU.AmTr_v1.0_scaffold00002.671	B3	MP00192	Amborella trichopoda	DAP	PlantTFDB	transfer from AT1G49480(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00003.101	ERF	MP00109	Amborella trichopoda	PBM	PlantTFDB	transfer from AT3G16770(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00003.226	WRKY	MP00069	Amborella trichopoda	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00003.302	NAC	MP00361	Amborella trichopoda	DAP	PlantTFDB	transfer from AT3G15510(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00005.66	Trihelix	MP00004	Amborella trichopoda	PBM	PlantTFDB	transfer from 920224(Arabidopsis lyrata)
evm_27.TU.AmTr_v1.0_scaffold00006.100	MYB	MP00596	Amborella trichopoda	DAP	PlantTFDB	transfer from AT5G67300(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00006.141	Dof	MP00570	Amborella trichopoda	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00006.150	bHLH	MP00498	Amborella trichopoda	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00006.175	BBR-BPC	MP00540	Amborella trichopoda	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00006.213	bZIP	MP00389	Amborella trichopoda	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00006.275	Trihelix	MP00340	Amborella trichopoda	DAP	PlantTFDB	transfer from AT3G10030(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00006.302	HD-ZIP	MP00323	Amborella trichopoda	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00007.163	MYB_related	MP00607	Amborella trichopoda	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00007.227	LBD	MP00283	Amborella trichopoda	DAP	PlantTFDB	transfer from AT2G30340(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00007.249	RAV	MP00025	Amborella trichopoda	PBM	PlantTFDB	transfer from AT1G68840(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00007.27	ERF	MP00674	Amborella trichopoda	SELEX	PlantTFDB	transfer from GRMZM2G093595(Zea mays)
evm_27.TU.AmTr_v1.0_scaffold00007.391	ERF	MP00151	Amborella trichopoda	DAP	PlantTFDB	transfer from AT1G19210(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00007.61	C3H	MP00566	Amborella trichopoda	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00008.135	HD-ZIP	MP00271	Amborella trichopoda	DAP	PlantTFDB	transfer from AT2G22430(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00009.309	NAC	MP00121	Amborella trichopoda	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00009.83	ERF	MP00374	Amborella trichopoda	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00010.267	bZIP	MP00502	Amborella trichopoda	DAP	PlantTFDB	transfer from AT5G10030(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00010.370	MYB	MP00259	Amborella trichopoda	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00010.371	HD-ZIP	MP00225	Amborella trichopoda	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00010.407	TCP	MP00396	Amborella trichopoda	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00010.457	MYB	MP00395	Amborella trichopoda	DAP	PlantTFDB	transfer from AT3G47600(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00010.503	MYB	MP00222	Amborella trichopoda	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
evm_27.TU.AmTr_v1.0_scaffold00011.156	NAC	MP00136	Amborella trichopoda	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
