Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
OMERI01G01310	MYB	MP00216	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
OMERI01G04110	ERF	MP00302	Oryza meridionalis	DAP	PlantTFDB	transfer from AT2G40340(Arabidopsis thaliana)
OMERI01G04420	LBD	MP00581	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G63090(Arabidopsis thaliana)
OMERI01G04960	G2-like	MP00261	Oryza meridionalis	DAP	PlantTFDB	transfer from AT2G03500(Arabidopsis thaliana)
OMERI01G06150	Dof	MP00402	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G50410(Arabidopsis thaliana)
OMERI01G06230	C2H2	MP00206	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
OMERI01G06630	MIKC_MADS	MP00609	Oryza meridionalis	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
OMERI01G07200	TCP	MP00009	Oryza meridionalis	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
OMERI01G07770	ERF	MP00456	Oryza meridionalis	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
OMERI01G08160	MYB	MP00505	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
OMERI01G08610	bHLH	MP00100	Oryza meridionalis	PBM	PlantTFDB	transfer from AT1G01260(Arabidopsis thaliana)
OMERI01G08690	Nin-like	MP00449	Oryza meridionalis	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
OMERI01G09010	C2H2	MP00125	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
OMERI01G09260	WRKY	MP00209	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
OMERI01G10960	MYB	MP00222	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
OMERI01G11730	TALE	MP00670	Oryza meridionalis	PBM	PlantTFDB	transfer from GRMZM2G087741(Zea mays)
OMERI01G19490	MYB_related	MP00607	Oryza meridionalis	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
OMERI01G19510	MYB_related	MP00607	Oryza meridionalis	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
OMERI01G22970	ERF	MP00456	Oryza meridionalis	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
OMERI01G23200	GATA	MP00110	Oryza meridionalis	ampDAP	PlantTFDB	transfer from AT2G18380(Arabidopsis thaliana)
OMERI01G23360	WRKY	MP00440	Oryza meridionalis	DAP	PlantTFDB	transfer from AT4G18170(Arabidopsis thaliana)
OMERI01G23690	ARF	MP00021	Oryza meridionalis	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
OMERI01G25110	RAV	MP00139	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
OMERI01G26210	B3	MP00382	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
OMERI01G27390	HSF	MP00379	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
OMERI01G27420	WRKY	MP00539	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G41570(Arabidopsis thaliana)
OMERI01G28060	WRKY	MP00167	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
OMERI01G28840	CPP	MP00045	Oryza meridionalis	PBM	PlantTFDB	transfer from AT4G29000(Arabidopsis thaliana)
OMERI01G28950	TCP	MP00065	Oryza meridionalis	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
OMERI01G30710	ERF	MP00623	Oryza meridionalis	PBM	PlantTFDB	transfer from PK19363.1(Cannabis sativa)
OMERI01G31300	bZIP	MP00019	Oryza meridionalis	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
OMERI01G31730	bZIP	MP00349	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
OMERI01G31990	MYB	MP00490	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
OMERI01G32310	WOX	MP00669	Oryza meridionalis	PBM	PlantTFDB	transfer from GRMZM2G038252(Zea mays)
OMERI01G32750	LBD	MP00283	Oryza meridionalis	DAP	PlantTFDB	transfer from AT2G30340(Arabidopsis thaliana)
OMERI01G32840	WRKY	MP00299	Oryza meridionalis	DAP	PlantTFDB	transfer from AT2G38470(Arabidopsis thaliana)
OMERI01G33900	MYB	MP00482	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G02320(Arabidopsis thaliana)
OMERI01G34950	bZIP	MP00294	Oryza meridionalis	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
OMERI01G35300	Dof	MP00405	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
OMERI01G36400	MIKC_MADS	MP00080	Oryza meridionalis	ChIP-seq	PlantTFDB	transfer from AT5G20240(Arabidopsis thaliana)
OMERI01G36460	NAC	MP00121	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G01720(Arabidopsis thaliana)
OMERI01G36900	LBD	MP00211	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G65620(Arabidopsis thaliana)
OMERI01G37050	ERF	MP00601	Oryza meridionalis	PBM	PlantTFDB	transfer from AT1G74930(Arabidopsis thaliana)
OMERI01G37950	ARR-B	MP00010	Oryza meridionalis	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
OMERI01G38380	B3	MP00083	Oryza meridionalis	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
OMERI01G38640	bHLH	MP00660	Oryza meridionalis	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
OMERI01G39320	TCP	MP00636	Oryza meridionalis	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
OMERI01G39560	ARF	MP00574	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
OMERI01G42240	G2-like	MP00014	Oryza meridionalis	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
OMERI02G00590	C2H2	MP00229	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
OMERI02G02300	SBP	MP00155	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
OMERI02G02950	BES1	MP00543	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
OMERI02G03860	G2-like	MP00354	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G13040(Arabidopsis thaliana)
OMERI02G07060	WRKY	MP00251	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
OMERI02G07700	MYB	MP00653	Oryza meridionalis	PBM	PlantTFDB	transfer from LOC_Os02g09480(Oryza sativa subsp. japonica)
OMERI02G08010	bZIP	MP00389	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
OMERI02G08230	C3H	MP00113	Oryza meridionalis	ampDAP	PlantTFDB	transfer from AT3G12130(Arabidopsis thaliana)
OMERI02G09240	Trihelix	MP00651	Oryza meridionalis	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
OMERI02G09390	bZIP	MP00419	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
OMERI02G12140	WRKY	MP00561	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G52830(Arabidopsis thaliana)
OMERI02G12480	WRKY	MP00067	Oryza meridionalis	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
OMERI02G14870	G2-like	MP00218	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G68670(Arabidopsis thaliana)
OMERI02G20310	ARF	MP00097	Oryza meridionalis	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
OMERI02G21410	MIKC_MADS	MP00410	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G57230(Arabidopsis thaliana)
OMERI02G22170	ERF	MP00623	Oryza meridionalis	PBM	PlantTFDB	transfer from PK19363.1(Cannabis sativa)
OMERI02G24760	TCP	MP00655	Oryza meridionalis	PBM	PlantTFDB	transfer from LOC_Os02g42380(Oryza sativa subsp. japonica)
OMERI02G25190	YABBY	MP00620	Oryza meridionalis	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
OMERI02G25220	NAC	MP00136	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
OMERI02G25630	WRKY	MP00618	Oryza meridionalis	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
OMERI02G25780	ERF	MP00549	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
OMERI02G26880	HD-ZIP	MP00421	Oryza meridionalis	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
OMERI02G26970	ERF	MP00558	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
OMERI02G26980	ERF	MP00644	Oryza meridionalis	PBM	PlantTFDB	transfer from LOC_Os02g45450(Oryza sativa subsp. japonica)
OMERI02G27110	MYB_related	MP00625	Oryza meridionalis	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
OMERI02G27210	MIKC_MADS	MP00315	Oryza meridionalis	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
OMERI02G27850	MYB	MP00144	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G16490(Arabidopsis thaliana)
OMERI02G28490	Dof	MP00580	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
OMERI02G29800	Dof	MP00570	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
OMERI02G29910	bZIP	MP00647	Oryza meridionalis	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
OMERI02G30000	HD-ZIP	MP00323	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
OMERI02G30620	E2F/DP	MP00397	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
OMERI02G31030	NAC	MP00537	Oryza meridionalis	DAP	PlantTFDB	transfer from AT5G39820(Arabidopsis thaliana)
OMERI02G31080	TCP	MP00396	Oryza meridionalis	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
OMERI02G32260	ERF	MP00156	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G21910(Arabidopsis thaliana)
OMERI02G32980	ERF	MP00204	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
OMERI02G34480	GATA	MP00130	Oryza meridionalis	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
OMERI02G35350	LBD	MP00309	Oryza meridionalis	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
