Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
GSMUA_Achr10G00770_001	MYB	MP00567	Musa acuminata	DAP	PlantTFDB	transfer from AT5G58850(Arabidopsis thaliana)
GSMUA_Achr10G02500_001	Dof	MP00483	Musa acuminata	DAP	PlantTFDB	transfer from AT5G02460(Arabidopsis thaliana)
GSMUA_Achr10G03980_001	C2H2	MP00608	Musa acuminata	ChIP-seq	PlantTFDB	transfer from AT3G48430(Arabidopsis thaliana)
GSMUA_Achr10G06050_001	WRKY	MP00251	Musa acuminata	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
GSMUA_Achr10G06260_001	GATA	MP00369	Musa acuminata	DAP	PlantTFDB	transfer from AT3G21175(Arabidopsis thaliana)
GSMUA_Achr10G08670_001	bZIP	MP00040	Musa acuminata	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
GSMUA_Achr10G09470_001	bZIP	MP00184	Musa acuminata	DAP	PlantTFDB	transfer from AT1G43700(Arabidopsis thaliana)
GSMUA_Achr10G13520_001	MYB	MP00600	Musa acuminata	PBM	PlantTFDB	transfer from AT5G59780(Arabidopsis thaliana)
GSMUA_Achr10G14400_001	NAC	MP00250	Musa acuminata	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
GSMUA_Achr10G16170_001	ARF	MP00097	Musa acuminata	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
GSMUA_Achr10G20450_001	Dof	MP00580	Musa acuminata	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
GSMUA_Achr10G20720_001	bZIP	MP00239	Musa acuminata	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
GSMUA_Achr10G21480_001	MIKC_MADS	MP00609	Musa acuminata	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
GSMUA_Achr10G22020_001	WRKY	MP00422	Musa acuminata	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
GSMUA_Achr10G22310_001	bHLH	MP00099	Musa acuminata	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
GSMUA_Achr10G22350_001	NAC	MP00562	Musa acuminata	DAP	PlantTFDB	transfer from AT5G53950(Arabidopsis thaliana)
GSMUA_Achr10G23260_001	G2-like	MP00354	Musa acuminata	DAP	PlantTFDB	transfer from AT3G13040(Arabidopsis thaliana)
GSMUA_Achr10G24560_001	MYB	MP00503	Musa acuminata	DAP	PlantTFDB	transfer from AT5G10280(Arabidopsis thaliana)
GSMUA_Achr10G26160_001	G2-like	MP00022	Musa acuminata	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
GSMUA_Achr10G27560_001	Dof	MP00199	Musa acuminata	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
GSMUA_Achr10G29970_001	MYB	MP00513	Musa acuminata	DAP	PlantTFDB	transfer from AT5G16600(Arabidopsis thaliana)
GSMUA_Achr10G31090_001	ERF	MP00230	Musa acuminata	DAP	PlantTFDB	transfer from AT1G72360(Arabidopsis thaliana)
GSMUA_Achr11G01790_001	TCP	MP00524	Musa acuminata	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
GSMUA_Achr11G02230_001	C2H2	MP00522	Musa acuminata	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
GSMUA_Achr11G03130_001	TCP	MP00667	Musa acuminata	PBM	PlantTFDB	transfer from GSVIVG01027588001(Vitis vinifera)
GSMUA_Achr11G03290_001	HD-ZIP	MP00421	Musa acuminata	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
GSMUA_Achr11G03520_001	Trihelix	MP00244	Musa acuminata	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
GSMUA_Achr11G04090_001	MYB	MP00114	Musa acuminata	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
GSMUA_Achr11G05140_001	bZIP	MP00419	Musa acuminata	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
GSMUA_Achr11G05340_001	ARR-B	MP00054	Musa acuminata	PBM	PlantTFDB	transfer from AT4G16110(Arabidopsis thaliana)
GSMUA_Achr11G06340_001	G2-like	MP00544	Musa acuminata	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
GSMUA_Achr11G09000_001	NAC	MP00583	Musa acuminata	DAP	PlantTFDB	transfer from AT5G64060(Arabidopsis thaliana)
GSMUA_Achr11G09440_001	BBR-BPC	MP00253	Musa acuminata	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
GSMUA_Achr11G13200_001	MYB	MP00216	Musa acuminata	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
GSMUA_Achr11G13410_001	G2-like	MP00160	Musa acuminata	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
GSMUA_Achr11G14570_001	bZIP	MP00131	Musa acuminata	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
GSMUA_Achr11G14990_001	bZIP	MP00126	Musa acuminata	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
GSMUA_Achr11G15580_001	Dof	MP00394	Musa acuminata	DAP	PlantTFDB	transfer from AT3G47500(Arabidopsis thaliana)
GSMUA_Achr11G17140_001	GATA	MP00377	Musa acuminata	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
GSMUA_Achr11G17510_001	NAC	MP00136	Musa acuminata	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
GSMUA_Achr11G20830_001	MYB	MP00334	Musa acuminata	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
GSMUA_Achr11G21630_001	ERF	MP00557	Musa acuminata	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
GSMUA_Achr11G21920_001	C2H2	MP00487	Musa acuminata	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
GSMUA_Achr11G24420_001	Dof	MP00483	Musa acuminata	DAP	PlantTFDB	transfer from AT5G02460(Arabidopsis thaliana)
GSMUA_Achr1G00750_001	MIKC_MADS	MP00315	Musa acuminata	DAP	PlantTFDB	transfer from AT2G45650(Arabidopsis thaliana)
GSMUA_Achr1G02820_001	NAC	MP00212	Musa acuminata	DAP	PlantTFDB	transfer from AT1G65910(Arabidopsis thaliana)
GSMUA_Achr1G03860_001	ERF	MP00558	Musa acuminata	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
GSMUA_Achr1G06280_001	G2-like	MP00174	Musa acuminata	DAP	PlantTFDB	transfer from AT1G32240(Arabidopsis thaliana)
GSMUA_Achr1G06360_001	MYB_related	MP00654	Musa acuminata	PBM	PlantTFDB	transfer from LOC_Os08g06110(Oryza sativa subsp. japonica)
