Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
orange1.1g001317m.g	SBP	MP00155	Citrus sinensis	DAP	PlantTFDB	transfer from AT1G20980(Arabidopsis thaliana)
orange1.1g001365m.g	CAMTA	MP00042	Citrus sinensis	PBM	PlantTFDB	transfer from AT2G22300(Arabidopsis thaliana)
orange1.1g001406m.g	CAMTA	MP00043	Citrus sinensis	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
orange1.1g001971m.g	SBP	MP00633	Citrus sinensis	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
orange1.1g002144m.g	Nin-like	MP00449	Citrus sinensis	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
orange1.1g002317m.g	Nin-like	MP00154	Citrus sinensis	DAP	PlantTFDB	transfer from AT1G20640(Arabidopsis thaliana)
orange1.1g002476m.g	CAMTA	MP00435	Citrus sinensis	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
orange1.1g002516m.g	ARF	MP00153	Citrus sinensis	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
orange1.1g002869m.g	HD-ZIP	MP00421	Citrus sinensis	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
orange1.1g003544m.g	ARF	MP00033	Citrus sinensis	PBM	PlantTFDB	transfer from AT5G37020(Arabidopsis thaliana)
orange1.1g003787m.g	SBP	MP00604	Citrus sinensis	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
orange1.1g003968m.g	CPP	MP00624	Citrus sinensis	PBM	PlantTFDB	transfer from PK22848.1(Cannabis sativa)
orange1.1g004106m.g	ARF	MP00021	Citrus sinensis	PBM	PlantTFDB	transfer from AT2G33860(Arabidopsis thaliana)
orange1.1g004262m.g	MYB_related	MP00119	Citrus sinensis	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
orange1.1g004792m.g	ARF	MP00574	Citrus sinensis	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
orange1.1g004963m.g	WRKY	MP00071	Citrus sinensis	PBM	PlantTFDB	transfer from AT5G56270(Arabidopsis thaliana)
orange1.1g005270m.g	C3H	MP00566	Citrus sinensis	DAP	PlantTFDB	transfer from AT5G58620(Arabidopsis thaliana)
orange1.1g005482m.g	ARF	MP00461	Citrus sinensis	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
