Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
LOC103249142	LFY	MP00095	Brassica rapa	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
LOC103827531	C2H2	MP00256	Brassica rapa	DAP	PlantTFDB	transfer from AT2G02080(Arabidopsis thaliana)
LOC103827572	GRAS	MP00611	Brassica rapa	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
LOC103827652	HD-ZIP	MP00550	Brassica rapa	DAP	PlantTFDB	transfer from AT5G47370(Arabidopsis thaliana)
LOC103827709	bHLH	MP00085	Brassica rapa	PBM	PlantTFDB	transfer from AT5G46760(Arabidopsis thaliana)
LOC103827790	G2-like	MP00544	Brassica rapa	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
LOC103828091	MYB	MP00479	Brassica rapa	DAP	PlantTFDB	transfer from AT4G38620(Arabidopsis thaliana)
LOC103828162	G2-like	MP00022	Brassica rapa	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
LOC103828177	G2-like	MP00111	Brassica rapa	ampDAP	PlantTFDB	transfer from AT2G20400(Arabidopsis thaliana)
LOC103828205	WOX	MP00330	Brassica rapa	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
LOC103828387	C2H2	MP00264	Brassica rapa	DAP	PlantTFDB	transfer from AT2G15740(Arabidopsis thaliana)
LOC103828416	bZIP	MP00267	Brassica rapa	DAP	PlantTFDB	transfer from AT2G18160(Arabidopsis thaliana)
LOC103828433	NAC	MP00266	Brassica rapa	DAP	PlantTFDB	transfer from AT2G18060(Arabidopsis thaliana)
LOC103828454	WOX	MP00265	Brassica rapa	DAP	PlantTFDB	transfer from AT2G17950(Arabidopsis thaliana)
LOC103828496	GRF	MP00263	Brassica rapa	DAP	PlantTFDB	transfer from AT2G06200(Arabidopsis thaliana)
LOC103828626	HSF	MP00379	Brassica rapa	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
LOC103828767	ERF	MP00373	Brassica rapa	DAP	PlantTFDB	transfer from AT3G23220(Arabidopsis thaliana)
LOC103828768	bHLH	MP00372	Brassica rapa	DAP	PlantTFDB	transfer from AT3G23210(Arabidopsis thaliana)
LOC103829013	ERF	MP00645	Brassica rapa	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
LOC103829019	B3	MP00032	Brassica rapa	PBM	PlantTFDB	transfer from AT1G28300(Arabidopsis thaliana)
LOC103829028	ERF	MP00163	Brassica rapa	DAP	PlantTFDB	transfer from AT1G28160(Arabidopsis thaliana)
LOC103829069	SBP	MP00161	Brassica rapa	DAP	PlantTFDB	transfer from AT1G27360(Arabidopsis thaliana)
LOC103829217	ARF	MP00097	Brassica rapa	PBM	PlantTFDB	transfer from AT1G59750(Arabidopsis thaliana)
LOC103829309	ERF	MP00158	Brassica rapa	DAP	PlantTFDB	transfer from AT1G22810(Arabidopsis thaliana)
LOC103829311	NAC	MP00176	Brassica rapa	DAP	PlantTFDB	transfer from AT1G32870(Arabidopsis thaliana)
LOC103829318	MYB	MP00053	Brassica rapa	PBM	PlantTFDB	transfer from AT1G22640(Arabidopsis thaliana)
LOC103829517	MYB	MP00596	Brassica rapa	DAP	PlantTFDB	transfer from AT5G67300(Arabidopsis thaliana)
LOC103829551	Dof	MP00593	Brassica rapa	DAP	PlantTFDB	transfer from AT5G66940(Arabidopsis thaliana)
LOC103829576	HD-ZIP	MP00591	Brassica rapa	DAP	PlantTFDB	transfer from AT5G66700(Arabidopsis thaliana)
LOC103829613	NAC	MP00590	Brassica rapa	DAP	PlantTFDB	transfer from AT5G66300(Arabidopsis thaliana)
LOC103829661	NAC	MP00280	Brassica rapa	DAP	PlantTFDB	transfer from AT2G27300(Arabidopsis thaliana)
LOC103829752	AP2	MP00615	Brassica rapa	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
LOC103829805	G2-like	MP00160	Brassica rapa	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
LOC103830052	WRKY	MP00408	Brassica rapa	DAP	PlantTFDB	transfer from AT3G56400(Arabidopsis thaliana)
LOC103830125	SBP	MP00412	Brassica rapa	DAP	PlantTFDB	transfer from AT3G57920(Arabidopsis thaliana)
LOC103830156	NAC	MP00205	Brassica rapa	DAP	PlantTFDB	transfer from AT1G54330(Arabidopsis thaliana)
LOC103830171	Trihelix	MP00413	Brassica rapa	DAP	PlantTFDB	transfer from AT3G58630(Arabidopsis thaliana)
LOC103830183	MIKC_MADS	MP00093	Brassica rapa	SELEX	PlantTFDB	transfer from AT3G58780(Arabidopsis thaliana)
LOC103830249	BBR-BPC	MP00540	Brassica rapa	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
LOC103830264	GATA	MP00415	Brassica rapa	DAP	PlantTFDB	transfer from AT3G60530(Arabidopsis thaliana)
LOC103830285	HD-ZIP	MP00418	Brassica rapa	DAP	PlantTFDB	transfer from AT3G61150(Arabidopsis thaliana)
LOC103830475	NAC	MP00250	Brassica rapa	DAP	PlantTFDB	transfer from AT1G79580(Arabidopsis thaliana)
LOC103830495	MYB	MP00249	Brassica rapa	DAP	PlantTFDB	transfer from AT1G79180(Arabidopsis thaliana)
LOC103830650	ERF	MP00240	Brassica rapa	DAP	PlantTFDB	transfer from AT1G75490(Arabidopsis thaliana)
LOC103830652	bZIP	MP00239	Brassica rapa	DAP	PlantTFDB	transfer from AT1G75390(Arabidopsis thaliana)
LOC103830669	BES1	MP00237	Brassica rapa	DAP	PlantTFDB	transfer from AT1G75080(Arabidopsis thaliana)
LOC103830815	C2H2	MP00229	Brassica rapa	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
LOC103830925	Dof	MP00223	Brassica rapa	DAP	PlantTFDB	transfer from AT1G69570(Arabidopsis thaliana)
LOC103830965	ERF	MP00217	Brassica rapa	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
LOC103831193	ARR-B	MP00010	Brassica rapa	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
LOC103831236	C3H	MP00383	Brassica rapa	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
LOC103831309	bHLH	MP00219	Brassica rapa	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
LOC103831316	MIKC_MADS	MP00096	Brassica rapa	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
LOC103831319	YABBY	MP00220	Brassica rapa	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
LOC103831328	WRKY	MP00067	Brassica rapa	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
LOC103831344	NAC	MP00221	Brassica rapa	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
LOC103831355	MYB	MP00222	Brassica rapa	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
LOC103831371	TCP	MP00224	Brassica rapa	DAP	PlantTFDB	transfer from AT1G69690(Arabidopsis thaliana)
LOC103831467	NAC	MP00221	Brassica rapa	DAP	PlantTFDB	transfer from AT1G69490(Arabidopsis thaliana)
LOC103831519	HD-ZIP	MP00225	Brassica rapa	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
LOC103831624	HD-ZIP	MP00226	Brassica rapa	DAP	PlantTFDB	transfer from AT1G70920(Arabidopsis thaliana)
LOC103831706	NAC	MP00017	Brassica rapa	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
LOC103831745	ERF	MP00230	Brassica rapa	DAP	PlantTFDB	transfer from AT1G72360(Arabidopsis thaliana)
LOC103831780	MYB_related	MP00231	Brassica rapa	DAP	PlantTFDB	transfer from AT1G72740(Arabidopsis thaliana)
LOC103831820	HD-ZIP	MP00232	Brassica rapa	DAP	PlantTFDB	transfer from AT1G73360(Arabidopsis thaliana)
LOC103831849	EIL	MP00233	Brassica rapa	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
LOC103831921	Nin-like	MP00234	Brassica rapa	DAP	PlantTFDB	transfer from AT1G74480(Arabidopsis thaliana)
LOC103831932	MYB	MP00235	Brassica rapa	DAP	PlantTFDB	transfer from AT1G74650(Arabidopsis thaliana)
LOC103831943	MYB_related	MP00236	Brassica rapa	DAP	PlantTFDB	transfer from AT1G74840(Arabidopsis thaliana)
LOC103831951	ERF	MP00601	Brassica rapa	PBM	PlantTFDB	transfer from AT1G74930(Arabidopsis thaliana)
LOC103831963	G2-like	MP00378	Brassica rapa	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
LOC103831983	ZF-HD	MP00238	Brassica rapa	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
LOC103832101	NAC	MP00241	Brassica rapa	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
LOC103832141	Trihelix	MP00244	Brassica rapa	DAP	PlantTFDB	transfer from AT1G76890(Arabidopsis thaliana)
LOC103832172	ERF	MP00245	Brassica rapa	DAP	PlantTFDB	transfer from AT1G77200(Arabidopsis thaliana)
LOC103832202	bHLH	MP00376	Brassica rapa	DAP	PlantTFDB	transfer from AT3G23690(Arabidopsis thaliana)
LOC103832203	ERF	MP00246	Brassica rapa	DAP	PlantTFDB	transfer from AT1G77640(Arabidopsis thaliana)
LOC103832219	bZIP	MP00247	Brassica rapa	DAP	PlantTFDB	transfer from AT1G77920(Arabidopsis thaliana)
LOC103832233	ERF	MP00026	Brassica rapa	PBM	PlantTFDB	transfer from AT1G78080(Arabidopsis thaliana)
LOC103832348	BES1	MP00248	Brassica rapa	DAP	PlantTFDB	transfer from AT1G78700(Arabidopsis thaliana)
LOC103832602	HD-ZIP	MP00559	Brassica rapa	DAP	PlantTFDB	transfer from AT5G52170(Arabidopsis thaliana)
LOC103832614	C2H2	MP00206	Brassica rapa	DAP	PlantTFDB	transfer from AT1G55110(Arabidopsis thaliana)
LOC103832641	ERF	MP00558	Brassica rapa	DAP	PlantTFDB	transfer from AT5G52020(Arabidopsis thaliana)
LOC103832647	ERF	MP00204	Brassica rapa	DAP	PlantTFDB	transfer from AT1G53910(Arabidopsis thaliana)
LOC103832651	ERF	MP00557	Brassica rapa	DAP	PlantTFDB	transfer from AT5G51990(Arabidopsis thaliana)
LOC103832689	ERF	MP00202	Brassica rapa	DAP	PlantTFDB	transfer from AT1G53170(Arabidopsis thaliana)
LOC103832766	G2-like	MP00252	Brassica rapa	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
LOC103832830	Dof	MP00199	Brassica rapa	DAP	PlantTFDB	transfer from AT1G51700(Arabidopsis thaliana)
LOC103832836	GATA	MP00198	Brassica rapa	DAP	PlantTFDB	transfer from AT1G51600(Arabidopsis thaliana)
LOC103833054	E2F/DP	MP00190	Brassica rapa	DAP	PlantTFDB	transfer from AT1G47870(Arabidopsis thaliana)
LOC103833096	ERF	MP00188	Brassica rapa	DAP	PlantTFDB	transfer from AT1G46768(Arabidopsis thaliana)
LOC103833171	AP2	MP00610	Brassica rapa	ChIP-seq	PlantTFDB	transfer from AT5G17430(Arabidopsis thaliana)
LOC103833309	bZIP	MP00019	Brassica rapa	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
LOC103833552	CAMTA	MP00435	Brassica rapa	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
LOC103833586	bHLH	MP00181	Brassica rapa	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
LOC103833598	C2H2	MP00196	Brassica rapa	ampDAP	PlantTFDB	transfer from AT1G34370(Arabidopsis thaliana)
LOC103833651	NAC	MP00175	Brassica rapa	DAP	PlantTFDB	transfer from AT1G32510(Arabidopsis thaliana)
LOC103833785	ERF	MP00374	Brassica rapa	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
LOC103833795	ERF	MP00374	Brassica rapa	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
LOC103834032	MYB	MP00438	Brassica rapa	DAP	PlantTFDB	transfer from AT4G17785(Arabidopsis thaliana)
LOC103834286	WRKY	MP00448	Brassica rapa	DAP	PlantTFDB	transfer from AT4G23550(Arabidopsis thaliana)
LOC103834305	HSF	MP00371	Brassica rapa	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
LOC103834370	CPP	MP00044	Brassica rapa	PBM	PlantTFDB	transfer from AT3G22760(Arabidopsis thaliana)
LOC103834403	bZIP	MP00470	Brassica rapa	DAP	PlantTFDB	transfer from AT4G34590(Arabidopsis thaliana)
LOC103834511	ERF	MP00467	Brassica rapa	DAP	PlantTFDB	transfer from AT4G32800(Arabidopsis thaliana)
LOC103834518	MYB	MP00466	Brassica rapa	DAP	PlantTFDB	transfer from AT4G32730(Arabidopsis thaliana)
LOC103834590	WRKY	MP00465	Brassica rapa	DAP	PlantTFDB	transfer from AT4G31800(Arabidopsis thaliana)
LOC103834598	B3	MP00602	Brassica rapa	PBM	PlantTFDB	transfer from AT4G31610(Arabidopsis thaliana)
LOC103834775	ERF	MP00458	Brassica rapa	DAP	PlantTFDB	transfer from AT4G28140(Arabidopsis thaliana)
LOC103834782	ERF	MP00456	Brassica rapa	DAP	PlantTFDB	transfer from AT4G27950(Arabidopsis thaliana)
LOC103834838	WRKY	MP00455	Brassica rapa	DAP	PlantTFDB	transfer from AT4G26640(Arabidopsis thaliana)
LOC103834988	GATA	MP00472	Brassica rapa	DAP	PlantTFDB	transfer from AT4G36620(Arabidopsis thaliana)
LOC103835022	bHLH	MP00035	Brassica rapa	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
LOC103835046	AP2	MP00088	Brassica rapa	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
LOC103835284	WRKY	MP00167	Brassica rapa	DAP	PlantTFDB	transfer from AT1G29280(Arabidopsis thaliana)
LOC103835295	Dof	MP00166	Brassica rapa	DAP	PlantTFDB	transfer from AT1G29160(Arabidopsis thaliana)
LOC103835375	C2H2	MP00162	Brassica rapa	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
LOC103835650	AP2	MP00368	Brassica rapa	DAP	PlantTFDB	transfer from AT3G20840(Arabidopsis thaliana)
LOC103835872	MYB_related	MP00631	Brassica rapa	PBM	PlantTFDB	transfer from PK23829.1(Cannabis sativa)
LOC103835873	MYB_related	MP00148	Brassica rapa	DAP	PlantTFDB	transfer from AT1G18960(Arabidopsis thaliana)
LOC103835898	MYB	MP00147	Brassica rapa	DAP	PlantTFDB	transfer from AT1G18570(Arabidopsis thaliana)
LOC103836112	G2-like	MP00140	Brassica rapa	DAP	PlantTFDB	transfer from AT1G13300(Arabidopsis thaliana)
LOC103836150	ERF	MP00138	Brassica rapa	DAP	PlantTFDB	transfer from AT1G12630(Arabidopsis thaliana)
LOC103836311	MYB	MP00028	Brassica rapa	SELEX	PlantTFDB	transfer from AT1G09770(Arabidopsis thaliana)
LOC103836328	MYB	MP00134	Brassica rapa	DAP	PlantTFDB	transfer from AT1G09540(Arabidopsis thaliana)
LOC103836466	bZIP	MP00129	Brassica rapa	DAP	PlantTFDB	transfer from AT1G06850(Arabidopsis thaliana)
LOC103836483	LBD	MP00128	Brassica rapa	DAP	PlantTFDB	transfer from AT1G06280(Arabidopsis thaliana)
LOC103836495	bZIP	MP00126	Brassica rapa	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
LOC103836802	WRKY	MP00115	Brassica rapa	ampDAP	PlantTFDB	transfer from AT4G01720(Arabidopsis thaliana)
LOC103836804	MYB	MP00427	Brassica rapa	DAP	PlantTFDB	transfer from AT4G01680(Arabidopsis thaliana)
LOC103836885	WRKY	MP00422	Brassica rapa	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
LOC103836888	MYB_related	MP00423	Brassica rapa	DAP	PlantTFDB	transfer from AT4G01280(Arabidopsis thaliana)
LOC103836906	HD-ZIP	MP00421	Brassica rapa	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
LOC103837221	MYB	MP00388	Brassica rapa	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
LOC103837308	G2-like	MP00532	Brassica rapa	DAP	PlantTFDB	transfer from AT5G29000(Arabidopsis thaliana)
LOC103837519	CAMTA	MP00043	Brassica rapa	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
LOC103837708	C2H2	MP00592	Brassica rapa	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
LOC103837736	ERF	MP00595	Brassica rapa	DAP	PlantTFDB	transfer from AT5G67190(Arabidopsis thaliana)
LOC103837851	bHLH	MP00106	Brassica rapa	PBM	PlantTFDB	transfer from AT2G18300(Arabidopsis thaliana)
LOC103837853	ZF-HD	MP00268	Brassica rapa	DAP	PlantTFDB	transfer from AT2G18350(Arabidopsis thaliana)
LOC103837858	GATA	MP00110	Brassica rapa	ampDAP	PlantTFDB	transfer from AT2G18380(Arabidopsis thaliana)
LOC103837880	MIKC_MADS	MP00272	Brassica rapa	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
LOC103837893	HD-ZIP	MP00271	Brassica rapa	DAP	PlantTFDB	transfer from AT2G22430(Arabidopsis thaliana)
LOC103838178	Dof	MP00210	Brassica rapa	DAP	PlantTFDB	transfer from AT1G64620(Arabidopsis thaliana)
LOC103838306	ERF	MP00002	Brassica rapa	PBM	PlantTFDB	transfer from 475045(Arabidopsis lyrata)
LOC103838409	WRKY	MP00209	Brassica rapa	DAP	PlantTFDB	transfer from AT1G62300(Arabidopsis thaliana)
LOC103838461	NAC	MP00058	Brassica rapa	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
LOC103838546	M-type_MADS	MP00208	Brassica rapa	DAP	PlantTFDB	transfer from AT1G60920(Arabidopsis thaliana)
LOC103838949	NAC	MP00165	Brassica rapa	DAP	PlantTFDB	transfer from AT1G28470(Arabidopsis thaliana)
LOC103838958	ERF	MP00164	Brassica rapa	DAP	PlantTFDB	transfer from AT1G28370(Arabidopsis thaliana)
LOC103839020	C2H2	MP00162	Brassica rapa	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
LOC103839053	MIKC_MADS	MP00605	Brassica rapa	ChIP-seq	PlantTFDB	transfer from AT1G24260(Arabidopsis thaliana)
LOC103839237	ERF	MP00029	Brassica rapa	PBM	PlantTFDB	transfer from AT5G43410(Arabidopsis thaliana)
LOC103839375	bZIP	MP00262	Brassica rapa	DAP	PlantTFDB	transfer from AT2G04038(Arabidopsis thaliana)
LOC103839443	NAC	MP00257	Brassica rapa	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
LOC103839462	C2H2	MP00254	Brassica rapa	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
LOC103839535	ERF	MP00549	Brassica rapa	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
