Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Pavir.1KG020700	C2H2	MP00229	Panicum virgatum	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Pavir.1KG034400	BES1	MP00543	Panicum virgatum	DAP	PlantTFDB	transfer from AT5G45300(Arabidopsis thaliana)
Pavir.1KG093500	MYB	MP00653	Panicum virgatum	PBM	PlantTFDB	transfer from LOC_Os02g09480(Oryza sativa subsp. japonica)
Pavir.1KG109600	MIKC_MADS	MP00272	Panicum virgatum	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
Pavir.1KG397100	TCP	MP00655	Panicum virgatum	PBM	PlantTFDB	transfer from LOC_Os02g42380(Oryza sativa subsp. japonica)
Pavir.1KG407200	ERF	MP00458	Panicum virgatum	DAP	PlantTFDB	transfer from AT4G28140(Arabidopsis thaliana)
Pavir.1KG411800	NAC	MP00136	Panicum virgatum	DAP	PlantTFDB	transfer from AT1G12260(Arabidopsis thaliana)
Pavir.1KG416400	WRKY	MP00618	Panicum virgatum	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Pavir.1KG418500	ERF	MP00549	Panicum virgatum	DAP	PlantTFDB	transfer from AT5G47230(Arabidopsis thaliana)
Pavir.1KG421100	ERF	MP00312	Panicum virgatum	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Pavir.1KG435200	LBD	MP00309	Panicum virgatum	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
Pavir.1KG442600	AP2	MP00088	Panicum virgatum	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Pavir.1KG464500	G2-like	MP00544	Panicum virgatum	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
Pavir.1KG470100	Dof	MP00580	Panicum virgatum	DAP	PlantTFDB	transfer from AT5G62940(Arabidopsis thaliana)
Pavir.1KG489100	Dof	MP00570	Panicum virgatum	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
Pavir.1KG490500	bZIP	MP00647	Panicum virgatum	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
Pavir.1KG493900	HD-ZIP	MP00323	Panicum virgatum	DAP	PlantTFDB	transfer from AT3G01470(Arabidopsis thaliana)
Pavir.1KG510200	TCP	MP00396	Panicum virgatum	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
Pavir.1KG534500	GATA	MP00130	Panicum virgatum	DAP	PlantTFDB	transfer from AT1G08010(Arabidopsis thaliana)
Pavir.1KG552700	TCP	MP00524	Panicum virgatum	DAP	PlantTFDB	transfer from AT5G23280(Arabidopsis thaliana)
Pavir.1NG002300	Trihelix	MP00651	Panicum virgatum	PBM	PlantTFDB	transfer from LOC_Os02g01380(Oryza sativa subsp. japonica)
Pavir.1NG010700	C2H2	MP00229	Panicum virgatum	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Pavir.1NG054900	bZIP	MP00019	Panicum virgatum	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
