Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Sobic.001G002500	ERF	MP00374	Sorghum bicolor	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
Sobic.001G007200	HSF	MP00514	Sorghum bicolor	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
Sobic.001G026500	SBP	MP00633	Sorghum bicolor	PBM	PlantTFDB	transfer from PK06791.1(Cannabis sativa)
Sobic.001G034300	Dof	MP00295	Sorghum bicolor	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
Sobic.001G036800	AP2	MP00615	Sorghum bicolor	PBM	PlantTFDB	transfer from AT2G28550(Arabidopsis thaliana)
Sobic.001G056700	bZIP	MP00040	Sorghum bicolor	PBM	PlantTFDB	transfer from AT5G28770(Arabidopsis thaliana)
Sobic.001G071000	NAC	MP00310	Sorghum bicolor	DAP	PlantTFDB	transfer from AT2G43000(Arabidopsis thaliana)
Sobic.001G075101	TALE	MP00671	Sorghum bicolor	PBM	PlantTFDB	transfer from GRMZM2G135447(Zea mays)
Sobic.001G077800	G2-like	MP00107	Sorghum bicolor	PBM	PlantTFDB	transfer from AT5G42630(Arabidopsis thaliana)
Sobic.001G079500	C2H2	MP00162	Sorghum bicolor	DAP	PlantTFDB	transfer from AT1G27730(Arabidopsis thaliana)
Sobic.001G086500	MIKC_MADS	MP00096	Sorghum bicolor	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
Sobic.001G105000	bHLH	MP00135	Sorghum bicolor	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Sobic.001G106200	TALE	MP00675	Sorghum bicolor	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Sobic.001G110900	MYB	MP00145	Sorghum bicolor	DAP	PlantTFDB	transfer from AT1G17950(Arabidopsis thaliana)
Sobic.001G120900	GRAS	MP00611	Sorghum bicolor	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
Sobic.001G156900	MYB_related	MP00607	Sorghum bicolor	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Sobic.001G158900	bHLH	MP00074	Sorghum bicolor	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
Sobic.001G163800	NAC	MP00364	Sorghum bicolor	DAP	PlantTFDB	transfer from AT3G18400(Arabidopsis thaliana)
Sobic.001G164800	B3	MP00468	Sorghum bicolor	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Sobic.001G180400	M-type_MADS	MP00553	Sorghum bicolor	DAP	PlantTFDB	transfer from AT5G48670(Arabidopsis thaliana)
Sobic.001G242900	C2H2	MP00673	Sorghum bicolor	SELEX	PlantTFDB	transfer from GRMZM2G011357(Zea mays)
Sobic.001G243000	HSF	MP00371	Sorghum bicolor	DAP	PlantTFDB	transfer from AT3G22830(Arabidopsis thaliana)
Sobic.001G261501	CAMTA	MP00042	Sorghum bicolor	PBM	PlantTFDB	transfer from AT2G22300(Arabidopsis thaliana)
Sobic.001G261700	LBD	MP00314	Sorghum bicolor	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Sobic.001G287600	bHLH	MP00084	Sorghum bicolor	PBM	PlantTFDB	transfer from AT1G32640(Arabidopsis thaliana)
Sobic.001G290400	NAC	MP00439	Sorghum bicolor	DAP	PlantTFDB	transfer from AT4G17980(Arabidopsis thaliana)
Sobic.001G297500	MYB_related	MP00551	Sorghum bicolor	DAP	PlantTFDB	transfer from AT5G47390(Arabidopsis thaliana)
